realization,acc_ratio,energy
1,0.92,12000
1,0.88,12000
1,0.96,12000
1,0.93,12000
1,0.97,12000
1,0.92,12000
1,0.98,12000
1,0.92,12000
1,0.93,12000
1,0.92,12000
1,0.9,12000
1,0.94,12000
1,0.95,12000
1,0.96,12000
1,0.93,12000
1,0.91,12000
1,0.93,11000
1,0.89,11000
1,0.93,11000
1,0.96,11000
1,0.92,11000
1,0.92,11000
1,0.93,10000
1,0.92,9000
1,0.91,9000
1,0.94,9000
1,0.93,9000
1,0.94,9000
1,0.95,9000
1,0.94,9000
1,0.86,9000
1,0.9,9000
1,0.93,9000
1,0.94,9000
1,0.91,9000
1,0.97,9000
1,0.96,9000
1,0.98,9000
1,0.9,9000
1,0.94,9000
1,0.93,9000
1,0.95,9000
1,0.94,9000
1,0.94,9000
1,0.94,9000
1,0.98,9000
1,0.97,9000
1,0.95,9000
1,0.96,9000
1,0.94,9000
1,0.96,9000
1,0.91,9000
1,0.89,9000
1,0.89,9000
1,0.92,9000
1,0.91,9000
1,0.94,9000
1,0.94,9000
1,0.89,9000
1,0.98,9000
1,0.98,9000
1,0.97,9000
1,0.96,9000
1,0.92,9000
1,0.96,9000
1,0.97,9000
1,0.94,9000
1,0.92,8000
1,0.92,8000
1,0.94,8000
1,0.96,8000
1,0.89,8000
1,0.96,8000
1,0.94,8000
1,0.97,8000
1,0.93,8000
1,0.98,8000
1,0.97,8000
1,0.94,8000
1,0.95,8000
1,0.96,8000
1,0.99,8000
1,0.96,8000
1,0.95,8000
1,0.99,8000
1,0.96,8000
1,0.93,8000
1,0.96,8000
1,0.9,8000
1,0.93,8000
1,0.9,8000
1,0.94,8000
1,0.98,8000
1,0.97,8000
1,0.96,8000
1,0.93,8000
1,0.97,8000
1,0.96,8000
1,0.93,8000
1,0.96,8000
1,0.97,8000
1,0.96,8000
1,0.98,8000
1,0.94,8000
1,0.96,8000
1,0.96,8000
1,0.96,8000
1,0.97,8000
1,0.96,8000
1,1,8000
1,0.98,8000
1,0.99,8000
1,0.99,8000
1,0.96,8000
1,0.94,8000
1,0.95,8000
1,0.99,8000
1,0.93,8000
1,0.96,8000
1,0.96,8000
1,0.95,8000
1,0.97,8000
1,0.98,8000
1,0.98,8000
1,0.94,8000
1,0.96,8000
1,0.95,8000
1,0.94,8000
1,0.94,8000
1,0.92,8000
1,0.97,8000
1,0.93,8000
1,0.94,8000
1,0.91,8000
1,0.9,8000
1,0.92,8000
1,0.96,8000
1,0.91,8000
1,0.91,8000
1,0.95,8000
1,0.9,8000
1,0.92,8000
1,0.92,8000
1,0.94,8000
1,0.95,8000
1,0.96,8000
1,0.95,7000
1,0.95,7000
1,0.95,7000
1,0.92,7000
1,0.95,7000
1,0.98,7000
1,0.96,7000
1,0.96,7000
1,0.98,7000
1,0.95,7000
1,0.97,7000
1,0.95,7000
1,0.97,7000
1,0.98,7000
1,0.95,7000
1,0.97,7000
1,0.96,7000
1,0.97,7000
1,0.91,7000
1,0.97,7000
1,0.96,7000
1,0.96,7000
1,0.92,7000
1,0.96,7000
1,0.92,7000
1,0.92,7000
1,0.97,7000
1,0.94,7000
1,0.94,7000
1,0.95,7000
1,0.85,7000
1,0.93,7000
1,0.94,7000
1,0.96,7000
1,0.98,7000
1,0.97,7000
1,0.98,7000
1,0.96,7000
1,0.97,7000
1,0.95,7000
1,0.94,7000
1,0.89,7000
1,0.91,7000
1,0.95,7000
1,0.93,7000
1,0.96,7000
1,0.96,7000
1,0.95,6000
1,0.91,6000
1,0.97,5000
1,0.98,5000
1,0.92,5000
1,0.98,5000
1,0.92,5000
1,0.95,5000
1,0.91,5000
1,0.88,5000
1,0.96,5000
1,0.94,5000
1,0.9,5000
1,0.97,5000
1,0.94,5000
1,0.93,5000
1,0.96,5000
1,0.95,5000
1,0.88,5000
1,0.93,5000
1,0.9,5000
1,0.93,5000
1,0.96,5000
1,0.9,5000
1,0.96,5000
1,0.96,5000
1,0.91,5000
1,0.88,5000
1,0.91,5000
1,0.92,5000
1,0.93,5000
1,0.96,5000
1,0.92,5000
1,0.89,5000
1,0.96,5000
1,0.95,5000
1,0.94,5000
1,0.88,4000
1,0.93,4000
1,0.92,4000
1,0.98,4000
1,0.9,4000
1,0.86,4000
1,0.91,4000
1,0.87,4000
1,0.92,4000
1,0.97,4000
1,0.97,4000
1,0.96,4000
1,0.97,4000
1,0.91,4000
1,0.96,4000
1,0.95,4000
1,0.95,4000
1,0.91,4000
1,0.9,4000
1,0.86,4000
1,0.92,4000
1,0.93,4000
1,0.94,4000
1,0.95,4000
1,0.96,4000
1,0.95,4000
1,0.91,4000
1,0.97,4000
1,0.95,4000
1,0.95,4000
1,0.91,4000
1,0.9,4000
1,0.9,4000
1,0.9,4000
1,0.91,4000
1,0.82,4000
1,0.92,4000
1,0.95,4000
1,0.91,4000
1,0.94,4000
1,0.92,4000
1,0.92,4000
1,0.9,4000
1,0.93,4000
1,0.94,4000
1,0.9,4000
1,0.93,4000
1,0.91,4000
1,0.92,4000
1,0.91,4000
1,0.93,4000
1,0.93,4000
1,0.88,4000
1,0.95,4000
1,0.91,4000
1,0.84,4000
1,0.87,4000
1,0.95,4000
1,0.92,4000
1,0.87,4000
1,0.89,4000
1,0.93,4000
1,0.91,4000
1,0.93,4000
1,0.9,4000
1,0.9,4000
1,0.99,4000
1,0.91,4000
1,0.94,4000
1,0.93,4000
1,0.92,4000
1,0.94,4000
1,0.88,4000
1,0.9,4000
1,0.92,4000
1,0.88,4000
1,0.88,4000
1,0.94,4000
1,0.92,4000
1,0.9,4000
1,0.87,4000
1,0.81,3000
1,0.95,3000
1,0.88,3000
1,0.91,3000
1,0.92,3000
1,0.94,3000
1,0.94,3000
1,0.89,3000
1,0.94,3000
1,0.9,3000
1,0.94,3000
1,0.92,3000
1,0.92,3000
1,0.91,3000
1,0.97,3000
1,0.95,3000
1,0.94,3000
1,0.94,3000
1,0.92,3000
1,0.95,3000
1,0.95,3000
1,0.93,3000
1,0.89,3000
1,0.91,3000
1,0.91,3000
1,0.92,3000
1,0.94,3000
1,0.91,3000
1,0.88,3000
1,0.93,3000
1,0.91,3000
1,0.93,3000
1,0.93,3000
1,0.95,3000
1,0.95,3000
1,0.87,3000
1,0.91,3000
1,0.9,3000
1,0.92,3000
1,0.95,3000
1,0.87,3000
1,0.93,3000
1,0.93,3000
1,0.96,3000
1,0.96,3000
1,0.96,3000
1,0.97,3000
1,0.94,3000
1,0.91,3000
1,0.97,3000
1,0.93,3000
1,0.93,3000
1,0.89,3000
1,0.94,3000
1,0.97,3000
1,0.94,3000
1,0.95,3000
1,0.91,3000
1,0.95,3000
1,0.9,3000
1,0.94,3000
1,0.94,3000
1,0.89,3000
1,0.93,3000
1,0.94,3000
1,0.93,3000
1,0.97,3000
1,0.9,3000
1,0.9,3000
1,0.93,3000
1,0.88,3000
1,0.94,2000
1,0.91,2000
1,0.9,2000
1,0.93,2000
1,0.93,2000
1,0.95,2000
1,0.94,2000
1,0.94,2000
1,0.92,2000
1,0.97,2000
1,0.91,2000
1,0.91,2000
1,0.92,2000
1,0.94,2000
1,0.94,2000
1,0.98,2000
1,0.97,2000
1,0.93,2000
1,0.97,2000
1,0.96,2000
1,0.97,2000
1,0.92,2000
1,0.96,2000
1,0.95,2000
1,0.92,2000
1,0.93,2000
1,0.95,2000
1,0.93,2000
1,0.94,2000
1,0.97,2000
1,0.93,2000
1,0.94,2000
1,0.9,2000
1,0.97,2000
1,0.96,2000
1,0.95,2000
1,0.91,2000
1,0.89,2000
1,0.92,2000
1,0.95,2000
1,0.95,2000
1,0.95,2000
1,0.92,2000
1,0.93,2000
1,0.97,2000
1,0.98,2000
1,0.95,2000
1,0.96,2000
1,0.99,2000
1,0.97,2000
1,0.99,2000
1,0.94,2000
1,0.97,2000
1,0.97,2000
1,0.97,2000
1,0.98,2000
1,0.99,2000
1,0.94,1000
1,0.96,1000
1,0.97,1000
1,0.94,1000
1,0.95,1000
1,0.91,1000
