p,acc
0.981852,0.59558
0.982711,0.596
0.983569,0.59671
0.984428,0.59448
0.985286,0.59593
0.986145,0.5957
0.987003,0.5964
0.987862,0.59492
0.988721,0.59195
0.989579,0.59236
0.990438,0.59042
0.991296,0.59298
0.992155,0.59397
0.993013,0.59329
0.993872,0.59187
0.994731,0.59265
0.995589,0.58938
0.996448,0.59145
0.997306,0.59197
0.998165,0.58962
0.999024,0.59071
0.999882,0.59104
1.00074,0.59201
1.0016,0.59043
1.00246,0.58895
1.00332,0.59107
1.00417,0.59163
1.00503,0.58568
1.00589,0.58942
1.00675,0.58899
1.00761,0.58995
1.00847,0.58879
1.00933,0.59328
1.01019,0.58731
1.01104,0.5911
1.0119,0.58948
1.01276,0.58848
1.01362,0.5874
1.01448,0.58506
1.01534,0.58731
1.0162,0.58715
1.01705,0.58555
1.01791,0.58674
1.01877,0.58732
1.01963,0.58712
1.02049,0.58419
1.02135,0.587
1.02221,0.58534
1.02306,0.58553
1.02392,0.58601
1.02478,0.58629
1.02564,0.58433
1.0265,0.58708
1.02736,0.58567
1.02822,0.58566
1.02907,0.58446
1.02993,0.58672
1.03079,0.58453
1.03165,0.58278
1.03251,0.58736
1.03337,0.58502
1.03423,0.58295
1.03508,0.58599
1.03594,0.58396
1.0368,0.58691
1.03766,0.58467
1.03852,0.58098
1.03938,0.58193
1.04024,0.58283
1.04109,0.58528
1.04195,0.58333
1.04281,0.58244
1.04367,0.5808
1.04453,0.58364
1.04539,0.58335
1.04625,0.58074
1.0471,0.58109
1.04796,0.58327
1.04882,0.58094
1.04968,0.583
1.05054,0.57975
1.0514,0.57863
1.05226,0.57836
1.05311,0.58127
1.05397,0.58095
1.05483,0.57753
1.05569,0.57588
1.05655,0.57768
1.05741,0.57769
1.05827,0.58238
1.05912,0.57916
1.05998,0.58006
1.06084,0.57855
1.0617,0.57767
1.06256,0.57825
1.06342,0.57781
1.06428,0.57681
1.06513,0.57592
1.06599,0.58032
1.06685,0.57786
1.06771,0.57861
1.06857,0.57641
1.06943,0.57801
1.07029,0.57547
1.07114,0.57284
1.072,0.57781
1.07286,0.57633
1.07372,0.57366
1.07458,0.5744
1.07544,0.57452
1.0763,0.57433
1.07715,0.57558
1.07801,0.57348
1.07887,0.57474
1.07973,0.57758
1.08059,0.5743
1.08145,0.57486
1.08231,0.57601
1.08316,0.57474
1.08402,0.57645
1.08488,0.57458
1.08574,0.5719
1.0866,0.57214
1.08746,0.57115
1.08832,0.57344
1.08917,0.57227
1.09003,0.57124
1.09089,0.56975
1.09175,0.57025
1.09261,0.5721
1.09347,0.57245
1.09433,0.57108
1.09518,0.57021
1.09604,0.57137
1.0969,0.57162
1.09776,0.5719
1.09862,0.57096
1.09948,0.57264
1.10034,0.57213
1.10119,0.56903
1.10205,0.57173
1.10291,0.56777
1.10377,0.57058
1.10463,0.56747
1.10549,0.56853
1.10635,0.568
1.1072,0.56793
1.10806,0.5696
1.10892,0.56783
1.10978,0.56808
1.11064,0.56889
1.1115,0.57018
1.11236,0.56579
1.11321,0.56609
1.11407,0.56445
1.11493,0.56905
1.11579,0.56285
1.11665,0.56674
1.11751,0.56617
1.11837,0.56511
1.11922,0.56509
1.12008,0.56899
1.12094,0.56383
1.1218,0.56775
1.12266,0.56696
1.12352,0.56512
1.12438,0.5651
1.12523,0.56664
1.12609,0.56631
1.12695,0.56541
1.12781,0.56448
1.12867,0.56668
1.12953,0.56481
1.13039,0.56367
1.13124,0.56242
1.1321,0.564
1.13296,0.56355
1.13382,0.56437
1.13468,0.56397
1.13554,0.5623
1.1364,0.56379
1.13725,0.56015
1.13811,0.56386
1.13897,0.56034
1.13983,0.56244
1.14069,0.55934
1.14155,0.56103
1.14241,0.56043
1.14326,0.56119
1.14412,0.55895
1.14498,0.56082
1.14584,0.55611
1.1467,0.56165
1.14756,0.55883
1.14842,0.55872
1.14927,0.55959
1.15013,0.5606
1.15099,0.55813
1.15185,0.55859
1.15271,0.55929
1.15357,0.55879
1.15443,0.55552
1.15528,0.56121
1.15614,0.5596
1.157,0.55564
1.15786,0.55703
1.15872,0.55479
1.15958,0.559
1.16044,0.55706
1.16129,0.55582
1.16215,0.55602
1.16301,0.55793
1.16387,0.55491
1.16473,0.55669
1.16559,0.55387
1.16645,0.55556
1.1673,0.5561
1.16816,0.5542
1.16902,0.55546
1.16988,0.55402
1.17074,0.55215
1.1716,0.55444
1.17246,0.55619
1.17331,0.55622
1.17417,0.55217
1.17503,0.55504
1.17589,0.55368
1.17675,0.55191
1.17761,0.55325
1.17847,0.55408
1.17933,0.55358
1.18018,0.55257
1.18104,0.5534
1.1819,0.55466
1.18276,0.55175
1.18362,0.55195
1.18448,0.55332
1.18534,0.55043
1.18619,0.55063
1.18705,0.55278
1.18791,0.54981
1.18877,0.55021
1.18963,0.54954
1.19049,0.55069
1.19135,0.55246
1.1922,0.5507
1.19306,0.54885
1.19392,0.54837
1.19478,0.5513
1.19564,0.54791
1.1965,0.54852
1.19736,0.54757
1.19821,0.54946
1.19907,0.54847
1.19993,0.54965
1.20079,0.54639
1.20165,0.54785
1.20251,0.54919
1.20337,0.54556
1.20422,0.54419
1.20508,0.5465
1.20594,0.54524
1.2068,0.54707
1.20766,0.54568
1.20852,0.54494
1.20938,0.5463
1.21023,0.54456
1.21109,0.54629
1.21195,0.54597
1.21281,0.54715
1.21367,0.54336
1.21453,0.54829
1.21539,0.54572
1.21624,0.55012
