realization,energy,pressure,acc_ratio
1,-193.691682,0.558664,0.540000
1,-203.684012,0.437681,0.540000
1,-207.444880,0.418626,0.600000
1,-200.558171,0.571857,0.570000
1,-202.578055,0.522446,0.520000
1,-199.790195,0.674891,0.570000
1,-204.235720,0.602568,0.550000
1,-191.548449,0.780263,0.600000
1,-185.521429,0.834448,0.540000
1,-186.437415,0.732708,0.510000
1,-184.777354,0.675479,0.520000
1,-184.906386,0.759062,0.560000
1,-199.160617,0.370695,0.610000
1,-184.952477,0.596334,0.560000
1,-185.184757,0.635357,0.680000
1,-180.958007,0.718644,0.650000
1,-186.220602,0.605855,0.610000
1,-192.493946,0.440930,0.710000
1,-191.149345,0.534837,0.580000
1,-191.458617,0.565731,0.550000
1,-208.328284,0.317024,0.560000
1,-197.727489,0.490647,0.610000
1,-196.652576,0.555801,0.550000
1,-196.937373,0.553552,0.530000
1,-189.728920,0.554024,0.640000
1,-195.255142,0.473197,0.610000
1,-191.285306,0.424539,0.630000
1,-188.028137,0.508083,0.590000
1,-190.372427,0.611343,0.660000
1,-171.827921,0.996100,0.560000
1,-185.982295,0.735028,0.610000
1,-171.176447,0.963145,0.580000
1,-189.338035,0.651963,0.570000
1,-186.469347,0.796025,0.600000
1,-176.268865,0.980527,0.620000
1,-183.077409,0.887706,0.670000
1,-192.423026,0.623603,0.620000
1,-201.692226,0.568715,0.560000
1,-199.036919,0.663591,0.590000
1,-209.839696,0.415187,0.570000
1,-203.727639,0.505143,0.600000
1,-197.873644,0.495400,0.550000
1,-200.017114,0.491423,0.530000
1,-192.386409,0.622311,0.690000
1,-193.455247,0.590449,0.600000
1,-206.801994,0.477786,0.610000
1,-192.509242,0.688915,0.550000
1,-203.700292,0.531598,0.540000
1,-196.582749,0.581056,0.530000
1,-205.784509,0.306198,0.610000
1,-198.115520,0.420245,0.630000
1,-202.780673,0.433277,0.600000
1,-192.396830,0.628797,0.660000
1,-195.814521,0.563207,0.540000
1,-203.969113,0.423512,0.600000
1,-183.626294,0.824846,0.530000
1,-185.923932,0.821199,0.510000
1,-189.158485,0.798134,0.590000
1,-192.789440,0.662025,0.580000
1,-196.567975,0.420717,0.710000
1,-202.246009,0.156760,0.730000
1,-202.209347,0.192618,0.670000
1,-189.786978,0.408992,0.700000
1,-187.310685,0.499226,0.620000
1,-195.771027,0.401738,0.640000
1,-195.437516,0.459027,0.650000
1,-198.570929,0.444652,0.590000
1,-191.541208,0.627666,0.590000
1,-188.286023,0.674660,0.490000
1,-184.343933,0.701577,0.630000
1,-191.546142,0.662948,0.600000
1,-185.550124,0.836823,0.580000
1,-193.102452,0.753048,0.550000
1,-200.804239,0.556988,0.540000
1,-198.812810,0.418955,0.590000
1,-197.060958,0.527207,0.550000
1,-192.319492,0.573521,0.600000
1,-196.731822,0.521836,0.610000
1,-201.623863,0.443456,0.600000
1,-193.287953,0.584030,0.580000
1,-187.432150,0.677472,0.600000
1,-200.614507,0.402890,0.570000
1,-207.361883,0.375620,0.620000
1,-172.498697,1.014552,0.620000
1,-188.763438,0.794593,0.590000
1,-188.405332,0.717392,0.530000
1,-185.395460,0.911035,0.630000
1,-203.763417,0.576876,0.490000
1,-210.924475,0.441257,0.460000
1,-197.523858,0.655253,0.620000
1,-195.702434,0.620545,0.660000
1,-205.504863,0.551814,0.610000
1,-199.565822,0.737975,0.670000
1,-208.935541,0.558624,0.560000
1,-200.774181,0.555105,0.530000
1,-196.777133,0.602543,0.670000
1,-200.276218,0.450117,0.620000
1,-200.870442,0.350229,0.530000
1,-205.853482,0.249686,0.660000
1,-206.716951,0.254484,0.580000
1,-201.018645,0.332172,0.650000
1,-210.839621,0.154861,0.610000
1,-192.678237,0.370837,0.640000
1,-203.671059,0.295174,0.730000
1,-191.782558,0.512291,0.620000
1,-207.245547,0.434869,0.670000
1,-189.127208,0.639414,0.610000
1,-191.831590,0.695835,0.610000
1,-199.735246,0.604850,0.670000
1,-197.491729,0.588270,0.560000
1,-188.941621,0.664965,0.650000
1,-176.487867,0.808666,0.600000
1,-188.890698,0.503105,0.580000
1,-197.172042,0.331871,0.660000
1,-197.999834,0.207211,0.700000
1,-205.011997,0.224843,0.630000
1,-191.956724,0.404831,0.590000
1,-189.695358,0.424772,0.650000
1,-185.321332,0.480476,0.580000
1,-184.280218,0.531051,0.650000
1,-189.666020,0.369354,0.670000
1,-187.558914,0.422444,0.620000
1,-191.261458,0.411673,0.640000
1,-189.620880,0.514739,0.660000
1,-190.683359,0.473856,0.610000
1,-191.955117,0.469447,0.620000
1,-200.151732,0.275416,0.610000
1,-198.546216,0.370060,0.630000
1,-193.816097,0.354608,0.620000
1,-196.314536,0.416081,0.590000
1,-190.815423,0.428036,0.670000
1,-191.131823,0.391687,0.560000
1,-204.315506,0.202921,0.670000
1,-186.603578,0.461061,0.590000
1,-183.184404,0.474060,0.720000
1,-186.766146,0.444783,0.690000
1,-194.329340,0.375572,0.630000
1,-197.026652,0.389414,0.540000
1,-189.117257,0.565814,0.630000
1,-169.075308,0.789765,0.670000
1,-190.050699,0.429280,0.660000
1,-189.898397,0.550017,0.640000
1,-200.420288,0.402062,0.600000
1,-209.061921,0.403894,0.650000
1,-215.492943,0.358956,0.580000
1,-212.246708,0.327669,0.530000
1,-208.716596,0.315886,0.640000
1,-202.585992,0.429961,0.580000
1,-197.599088,0.623736,0.600000
1,-203.025662,0.535076,0.640000
1,-201.012445,0.472780,0.530000
1,-202.928018,0.401744,0.710000
1,-198.841819,0.544303,0.590000
1,-202.310621,0.414064,0.620000
1,-196.635068,0.513548,0.550000
1,-196.703343,0.559405,0.590000
1,-197.251548,0.538923,0.540000
1,-195.727060,0.510113,0.580000
1,-197.993499,0.462439,0.630000
1,-202.466207,0.375854,0.540000
1,-198.191299,0.498057,0.650000
1,-201.640202,0.525102,0.590000
1,-207.882383,0.392306,0.650000
1,-193.505536,0.610174,0.600000
1,-202.977987,0.468980,0.680000
1,-194.294777,0.572517,0.610000
1,-186.345434,0.657287,0.700000
1,-195.974432,0.485652,0.590000
1,-209.722879,0.244358,0.630000
1,-204.533365,0.400162,0.610000
1,-202.229116,0.497051,0.490000
1,-196.312844,0.460361,0.650000
1,-192.198348,0.460518,0.510000
1,-198.494543,0.273417,0.620000
1,-197.553419,0.430379,0.630000
1,-189.235611,0.546454,0.710000
1,-189.405301,0.595481,0.620000
1,-200.761023,0.420314,0.590000
1,-195.475901,0.552631,0.540000
1,-194.825761,0.506815,0.520000
1,-194.654944,0.680689,0.670000
1,-200.625955,0.486190,0.620000
1,-208.753152,0.406254,0.530000
1,-210.886366,0.430802,0.480000
1,-201.834218,0.567086,0.690000
1,-196.281923,0.659807,0.630000
1,-206.352780,0.400668,0.630000
1,-210.049034,0.301962,0.460000
1,-206.223860,0.397028,0.670000
1,-199.949297,0.494138,0.540000
1,-200.404041,0.463585,0.460000
1,-201.221531,0.474267,0.480000
1,-204.188109,0.463603,0.580000
1,-203.628324,0.472484,0.620000
1,-187.972309,0.737739,0.490000
1,-186.678562,0.810803,0.640000
1,-204.241147,0.429415,0.580000
1,-202.105106,0.480558,0.570000
1,-193.208832,0.605463,0.610000
1,-204.659553,0.396783,0.610000
1,-211.398619,0.346699,0.590000
1,-197.058625,0.614398,0.620000
1,-203.588492,0.515851,0.530000
1,-206.700134,0.497276,0.540000
1,-199.721016,0.624730,0.620000
1,-194.978923,0.769422,0.590000
1,-205.082659,0.594478,0.620000
1,-206.037952,0.588812,0.560000
1,-186.046108,0.903640,0.540000
1,-184.580247,0.895053,0.430000
1,-192.788617,0.807075,0.600000
1,-188.659681,0.806962,0.530000
1,-167.105574,1.277355,0.530000
1,-185.964324,0.890213,0.550000
1,-171.222340,1.112769,0.520000
1,-186.843566,0.796898,0.590000
1,-179.310241,0.863460,0.670000
1,-202.055596,0.408427,0.630000
1,-200.725211,0.414137,0.530000
1,-191.751873,0.639422,0.610000
1,-203.435000,0.424863,0.640000
1,-193.044727,0.570000,0.610000
1,-190.120978,0.633389,0.620000
1,-191.484245,0.673784,0.650000
1,-196.379181,0.516857,0.610000
1,-199.908615,0.498255,0.670000
1,-200.713725,0.547635,0.620000
