time,X,Y
0.000000,200,250
0.000188,199,251
0.000412,198,252
0.000526,197,253
0.001103,198,252
0.001186,197,253
0.001647,198,252
0.001728,197,253
0.002178,196,254
0.002696,195,254
0.002898,194,255
0.003099,193,256
0.003634,192,257
0.003692,193,256
0.003922,192,257
0.004598,191,258
0.004771,190,259
0.005019,189,260
0.005027,188,261
0.005708,187,262
0.005785,188,261
0.007274,187,262
0.007842,188,262
0.008134,189,261
0.008788,190,260
0.009352,189,261
0.009536,190,260
0.009946,189,261
0.010438,188,261
0.010467,187,262
0.010700,186,263
0.011516,187,262
0.011890,186,263
0.012336,185,264
0.012372,184,265
0.013221,185,264
0.013300,186,263
0.013780,185,264
0.014377,184,264
0.014738,185,263
0.015636,186,262
0.015718,187,262
0.016301,188,262
0.017139,189,261
0.017340,190,260
0.017349,189,261
0.017618,188,262
0.019491,187,263
0.020415,186,264
0.020854,187,264
0.021367,188,263
0.021429,189,262
0.021861,190,261
0.021875,189,261
0.022496,190,260
0.023578,189,261
0.023666,188,262
0.024037,187,263
0.024783,186,264
0.024834,187,263
0.027015,186,264
0.027508,185,265
0.028497,186,264
0.028803,187,263
0.029745,186,264
0.029788,185,265
0.030147,186,264
0.031120,187,263
0.031542,186,264
0.031596,187,263
0.032236,186,264
0.032471,187,263
0.032739,186,264
0.033522,187,263
0.033720,188,263
0.034389,189,262
0.034470,188,263
0.034664,189,262
0.035078,188,263
0.035610,187,264
0.036512,188,263
0.036729,187,263
0.037814,188,262
0.038031,187,263
0.038409,186,263
0.038657,185,264
0.039652,184,264
0.041408,183,264
0.042418,182,265
0.042986,183,264
0.043099,184,263
0.043112,183,264
0.043870,184,263
0.044457,185,262
0.044561,186,261
0.044575,185,262
0.044881,184,263
0.045082,185,262
0.045641,186,261
0.045963,185,262
0.046724,186,261
0.046748,187,260
0.047134,186,261
0.047687,187,260
0.047689,188,259
0.047698,189,258
0.047899,190,258
0.048409,189,259
0.048745,190,258
0.049348,191,257
0.049506,190,257
0.049514,189,257
0.049542,188,257
0.050446,187,257
0.052126,188,256
0.052415,187,257
0.052527,186,258
0.052537,185,259
0.052837,186,258
0.053246,185,259
0.053390,184,260
0.053701,183,261
0.053727,184,260
0.053739,185,259
0.053757,186,259
0.053996,187,259
0.054451,186,260
0.054872,187,260
0.055003,186,261
0.055026,185,262
0.055185,184,263
0.055286,185,262
0.055399,184,263
0.056375,183,264
0.056589,182,265
0.056665,183,264
0.056808,184,263
0.057124,185,262
0.057822,186,262
0.057853,185,263
0.058278,186,263
0.058354,187,262
0.058430,186,263
0.058685,187,263
0.058741,186,264
0.058820,187,263
0.058885,188,262
0.059737,187,262
0.059906,188,261
0.060061,189,260
0.060098,190,259
0.060842,189,260
0.061491,190,259
0.061592,189,260
0.061784,190,259
0.062426,191,258
0.062486,192,258
0.062564,191,259
0.062642,190,260
0.063803,191,259
0.063811,190,260
0.064664,191,260
0.064864,190,261
0.065588,189,262
0.066462,188,263
0.066712,189,263
0.067285,190,262
0.067733,191,261
0.067983,192,260
0.068363,191,261
0.068738,192,260
0.069351,193,259
0.071436,194,258
0.071847,195,258
0.071853,196,257
0.072549,195,258
0.073256,196,257
0.073692,195,258
0.074556,196,257
0.074864,195,257
0.074964,194,258
0.075144,193,259
0.075231,194,258
0.075498,193,259
0.075658,194,259
0.076272,193,260
0.077007,192,261
0.077128,191,261
0.077671,192,260
0.078668,191,261
0.078750,190,262
0.078895,189,263
0.079457,188,264
0.079457,189,263
0.079472,190,262
0.080154,189,263
0.080417,188,263
0.080556,189,262
0.080657,188,262
0.080929,189,261
0.081390,190,260
0.081458,189,260
0.081491,188,261
0.081709,189,261
0.082020,190,260
0.082165,189,261
0.083243,190,260
0.083405,189,261
0.083773,188,262
0.083933,187,262
0.084182,186,263
0.084293,185,264
0.084421,186,264
0.084435,187,263
0.084447,188,262
0.084569,189,261
0.085025,190,261
0.085165,191,261
0.085360,190,261
0.085955,191,260
0.086437,190,260
0.086843,191,259
0.087225,192,258
0.087505,191,259
0.088190,192,258
0.088192,191,259
0.088752,190,260
0.088819,189,261
0.089160,190,260
0.090511,189,261
0.090714,190,260
0.091000,191,259
0.091007,190,260
0.091163,191,260
0.091898,192,259
0.092090,191,260
0.092155,192,259
0.093096,191,260
0.093344,192,259
0.093534,193,258
0.093913,192,259
0.094302,191,259
0.094316,192,258
0.094655,193,257
0.094904,194,256
0.094936,193,257
0.095144,194,256
0.095439,193,256
0.095549,192,257
0.096047,191,258
0.097102,190,259
0.097135,191,258
0.097268,192,257
0.097275,191,258
0.097952,192,257
0.098365,193,256
0.098586,194,255
0.098623,195,254
0.098642,196,253
0.099473,197,252
0.099560,196,252
0.099683,195,253
0.099810,196,252
0.100981,197,251
0.101568,196,252
0.102658,197,251
0.102696,198,250
0.103152,197,251
0.103732,196,252
0.103748,197,252
0.103781,198,251
0.104043,199,250
0.105153,198,251
0.105284,197,252
0.107144,198,252
0.109369,199,252
0.109712,198,253
0.109840,199,252
0.109935,200,252
0.109945,201,251
0.112651,202,250
0.113188,201,250
0.113534,200,251
0.113608,201,250
0.114449,202,249
0.114730,203,248
0.114888,204,248
0.114963,205,247
0.115061,206,247
0.116491,207,246
0.116537,206,247
0.117025,207,246
0.117323,206,247
0.117325,207,246
0.117470,208,245
0.117531,209,244
0.117596,210,243
0.117820,209,244
0.117872,208,245
0.118005,209,245
0.118263,210,244
0.118385,211,243
0.119031,210,243
0.120052,211,242
0.120153,212,241
0.120658,213,240
0.120701,214,239
0.121293,213,240
0.121310,214,239
0.122300,213,240
0.122820,212,240
0.123523,213,239
0.123727,214,238
0.124103,213,239
0.124393,212,239
0.125290,213,238
0.125554,212,239
0.125915,213,238
0.126470,214,237
0.126642,215,236
0.126692,214,237
0.126771,213,238
0.126921,214,237
0.127147,213,238
0.127343,212,239
0.128055,213,238
0.128393,212,239
0.129512,213,238
0.129579,214,237
0.130103,213,237
0.130147,214,237
0.130271,215,236
0.130885,214,237
0.131162,215,237
0.132062,216,236
0.132321,217,235
0.132838,216,235
0.133577,215,235
0.135106,214,236
0.135384,215,235
0.135859,214,236
0.136096,215,235
0.136486,216,235
0.136516,215,235
0.136693,216,234
0.137090,217,233
