n,crude,importance
500,0.195036,0.146315
500,0.0860104,0.0710136
500,0.0514508,0.00865439
500,0.125685,0.047692
500,0.0849563,0.0700106
500,0.0215622,0.0308318
500,0.115982,0.0682502
500,0.0567744,0.015313
500,0.0528648,0.0421226
500,0.00377572,0.0957813
500,0.0602601,0.0210594
500,0.00535572,0.091163
500,0.00487193,0.0773947
500,0.0357116,0.0455438
500,0.0986335,0.0246534
500,0.0865032,0.0748009
500,0.0656857,0.0426037
500,0.0715726,0.00658816
500,0.0743131,0.0409551
500,0.0261587,0.113752
500,0.101348,0.0159691
500,0.0726778,0.0470264
500,0.0948469,0.00132563
500,0.118181,0.0671453
500,0.0388,0.0879586
500,0.0843188,0.202097
500,0.0702993,0.0546903
500,0.0945963,0.0669474
500,0.0379652,0.0168435
500,0.0101323,0.0992967
500,0.280979,0.034128
500,0.175418,0.0450462
500,0.0242395,0.0185547
500,0.119701,0.0144945
500,0.09157,0.00498293
500,0.0330674,0.112961
500,0.0529465,0.059392
500,0.157782,0.0447016
500,0.0750559,0.0154774
500,0.284612,0.0156473
500,0.149549,0.00911886
500,0.0681558,0.00965918
500,0.103542,0.0238919
500,0.130669,0.0239745
500,0.04954,0.0171519
500,0.0114196,0.0610514
500,0.0175887,0.0361325
500,0.044217,0.00432768
500,0.100727,0.0428129
500,0.0913006,0.0221024
500,0.158479,0.0824616
500,0.0333369,0.00572589
500,0.0993588,0.0843989
500,0.14438,0.0250614
500,0.198296,0.00274409
500,0.0631886,0.000936076
500,0.046051,0.0131951
500,0.030178,0.0298191
500,0.037414,0.021229
500,0.110347,0.036624
500,0.22787,0.0156554
500,0.0317716,0.0792592
500,0.0416661,0.00470314
500,0.0316875,0.121252
500,0.0217157,0.0319836
500,0.00540365,0.0098712
500,0.0394948,0.0706983
500,0.151028,0.0374125
500,0.129382,0.173246
500,0.0443441,0.0432505
500,0.119953,0.0873121
500,0.0870634,0.0167712
500,0.037568,0.095081
500,0.0527604,0.0170696
500,0.159489,0.018898
500,0.0683803,0.0110033
500,0.0077597,0.000318785
500,0.149244,0.0179855
500,0.0431211,0.0729481
500,0.039582,0.00779419
500,0.140054,0.0454195
500,0.120538,0.0889161
500,0.192228,0.0869306
500,0.0603875,0.0685645
500,0.0220955,0.0947212
500,0.00949605,0.0363368
500,0.0341703,0.0154487
500,0.130603,0.0229427
500,0.0418231,0.0490025
500,0.0869168,0.00861808
500,0.012646,0.0314145
500,0.0311875,0.00194384
500,0.125859,0.0308227
500,0.0380175,0.0884506
500,0.0432368,0.0480816
500,0.152026,0.06877
500,0.0240848,0.0574722
500,0.0182273,0.0422006
500,0.0266432,0.0286496
500,0.0557923,0.050378
500,0.266622,0.127744
500,0.112686,0.0419193
500,0.000303519,0.0768005
500,0.0803488,0.146067
500,0.225185,0.0212215
500,0.0200554,0.0860962
500,0.0549513,0.0830503
500,0.0379997,0.0873595
500,0.0125685,0.115312
500,0.0542296,0.0528888
500,0.101102,0.0162784
500,0.0344536,0.0102458
500,0.144641,0.00720669
500,0.0350349,0.051907
500,0.0206554,0.102283
500,0.0328602,0.0872143
500,0.0275852,0.0198075
500,0.017656,0.111838
500,0.140025,0.00660099
500,0.250323,0.0460094
500,0.0626739,0.00770136
500,0.107997,0.0250118
500,0.163458,0.0937781
500,0.13198,0.0761115
500,0.0330813,0.012998
500,0.0309454,0.0531199
500,0.0195197,0.0323137
500,0.208107,0.0418636
500,0.142625,0.0668248
500,0.0300832,0.0531231
500,0.179618,0.0416757
500,0.0740518,0.00198332
500,0.227343,0.0283335
500,0.240412,0.117331
500,0.0491559,0.149508
500,0.0480669,0.0640996
500,0.0607141,0.0594598
500,0.0350674,0.0323892
500,0.0177611,0.0872158
500,0.0676808,0.0482853
500,0.101737,0.0325668
500,0.0364936,0.0558459
500,0.0171088,0.0133328
500,0.0822336,0.107684
500,0.110093,0.052301
500,0.00467055,0.0620533
500,0.204268,0.120435
500,0.128397,0.117879
500,0.0541256,0.0646469
500,0.0706865,0.069149
500,0.0181821,0.116618
500,0.108944,0.0599327
500,0.0810673,0.0133113
500,0.0641886,0.0502437
500,0.0635185,0.136672
500,0.013636,0.0590392
500,0.0503886,0.00262043
500,0.0586068,0.042897
500,0.153941,0.0755791
500,0.0063874,0.0756733
500,0.0806332,0.00773634
500,0.0418324,0.0453681
500,0.0516769,0.032351
500,0.209213,0.0468786
500,0.0512589,0.0176634
500,0.0898543,0.132518
500,0.0960416,0.0419349
500,0.0338534,0.0152555
500,0.0129674,0.0653428
500,0.0232547,0.00697157
500,0.133543,0.0400881
500,0.0093147,0.0134786
500,0.269402,0.028146
500,0.188039,0.0811897
500,0.157923,0.0238061
500,0.219947,0.000491025
500,0.109798,0.0413782
500,0.171372,0.0090187
500,0.205832,0.00614551
500,0.0302013,0.00789316
500,0.0318522,0.00439899
500,0.0533838,0.0263428
500,0.00311188,0.0646243
500,0.0980802,0.00730751
500,0.197033,0.0307028
500,0.210508,0.0460182
500,0.0564171,0.00898999
500,0.272871,0.136069
500,0.106989,0.0547531
500,0.0354204,0.0439753
500,0.138293,0.0326421
500,0.0312577,0.0529738
500,0.0934662,0.0488923
500,0.147517,0.0252223
500,0.00756545,0.0266794
500,0.087227,0.0197823
500,0.0545714,0.0903188
500,0.0885911,0.0810601
500,0.056397,0.00348181
500,0.12986,0.030576
500,0.189043,0.0295289
500,0.0101733,0.0317849
500,0.186987,0.027474
500,0.00815284,0.0260484
500,0.0454954,0.0205143
500,0.102093,0.0745263
500,0.0803959,0.120673
500,0.0241659,0.0317342
500,0.0717328,0.0068011
500,0.0652979,0.029835
500,0.0134592,0.00412924
500,0.0134396,0.11
500,0.113475,0.0361899
500,0.13064,0.00353716
500,0.0961034,0.0283015
500,0.0311409,0.0400085
500,0.0658206,0.0302692
500,0.139026,0.0366357
500,0.0364816,0.071227
500,0.0980169,0.00860475
500,0.0352567,0.0702198
500,0.00313187,0.0555813
500,0.142465,0.0799898
500,0.133682,0.0387433
500,0.114713,0.0229932
500,0.0233799,0.0421038
500,0.0969796,0.05243
500,0.322336,0.0776269
500,0.108039,0.017275
500,0.0628125,0.0657134
500,0.0174882,0.0753984
500,0.0960249,0.062406
500,0.0150299,0.104512
500,0.0845883,0.0906352
500,0.0294068,0.0477011
500,0.00436395,0.0361284
500,0.050562,0.0991303
500,0.101294,0.0384492
500,0.0946888,0.000574589
500,0.0162672,0.0257984
500,0.123987,0.0663678
500,0.0152812,0.0532148
500,0.0479885,0.0118741
500,0.183726,0.0027383
500,0.105243,0.0123043
500,0.0418848,0.0642705
500,0.0209597,0.130167
500,0.0762453,0.0185968
500,0.0904712,0.0147358
500,0.205752,0.129054
500,0.00447521,0.140888
500,0.133496,0.0396629
500,0.0140896,0.0821015
500,0.112453,0.00379884
500,0.208045,0.00198541
500,0.0363812,0.0827538
500,0.096243,0.0269367
500,0.00777672,0.00353392
500,0.0568882,0.0204886
500,0.175716,0.132128
500,0.0898131,0.013414
500,0.0625182,0.00283887
500,0.0305721,0.00390317
500,0.0520535,0.0156462
500,0.143059,0.0762997
500,0.139384,0.0958271
500,0.0618283,0.0429174
500,0.0319821,0.0411177
500,0.281912,0.0651517
500,0.0518192,0.0848179
500,0.150518,0.0362284
500,0.129776,0.0930847
500,0.105567,0.081688
500,0.0122761,0.0644688
500,0.156871,0.00762193
500,0.398298,0.0842377
500,0.106118,0.117494
500,0.0440814,0.12205
500,0.123817,0.0789091
500,0.0623769,0.0246188
500,0.210115,0.0622791
500,0.0559438,0.00104348
500,0.209389,0.0628835
500,0.15424,0.0326427
500,0.128284,0.0825616
500,0.266413,0.0157286
500,0.00429506,0.0807245
500,0.216414,0.0343172
500,0.0364411,0.0415158
500,0.0378586,0.0564311
500,0.0807541,0.033568
500,0.0710689,0.0963973
580,0.23747,0.0105133
580,0.105834,0.0529682
580,0.0850137,0.0763916
580,0.0176999,0.0818791
580,0.0798365,0.157013
580,0.107196,0.041967
580,0.00439406,0.0387784
580,0.0438971,0.0235605
580,0.0715194,0.0362171
580,0.0109114,0.044952
580,0.0160709,0.0801398
580,0.202713,0.0399961
580,0.138119,0.00999424
580,0.0889867,0.00437556
580,0.0757325,0.0272046
580,0.165694,0.0752101
580,0.148853,0.017491
580,0.026979,0.0169529
580,0.0872141,0.0776602
580,0.0173834,0.00854124
580,0.0322448,0.00500315
580,0.00368096,0.0405985
580,0.0103619,0.0833379
580,0.187602,0.0570999
580,0.024261,0.0115463
580,0.0575278,0.0964847
580,0.152213,0.0401521
580,0.0295346,0.0891327
580,0.0539809,0.0528107
580,0.140326,0.0206426
580,0.0999287,0.0230572
580,0.169793,0.0368586
580,0.0232899,0.0230478
580,0.0535856,0.0156248
580,0.0127637,0.0477576
580,0.0102229,0.0966666
580,0.284146,0.00539199
580,0.056533,0.021433
580,0.00975155,0.0109845
580,0.0664719,0.0252157
580,0.0894035,0.0490694
580,0.0579549,0.0663015
580,0.289227,0.0317941
580,0.0126057,0.0531323
580,0.101213,0.0217811
580,0.0562192,0.0392423
580,0.0427946,0.00219441
580,0.100497,0.0127846
580,0.0544323,0.0354152
580,0.161192,0.0334325
580,0.116855,0.10287
580,0.0529382,0.0730796
580,0.0525229,0.0227301
580,0.0464079,0.0238292
580,0.00858604,0.081768
580,0.0377594,0.0222095
580,0.134495,0.0171623
580,0.137969,0.0209894
580,0.0540352,0.00403982
580,0.0434608,0.0667658
580,0.0518985,0.068718
580,0.0197464,0.0245739
580,0.109887,0.0614127
580,0.100806,0.0302539
580,0.2687,0.0954175
580,0.0697429,0.0505744
580,0.0161131,0.0571422
580,0.0332692,0.108696
580,0.0504213,0.077289
580,0.238288,0.0111631
580,0.0281169,0.010492
580,0.0485605,0.0430225
580,0.04584,0.0407863
580,0.157549,0.102213
580,0.198283,0.0731229
580,0.090411,0.00646998
580,0.0815509,0.00346641
580,0.0457259,0.00731025
580,0.158293,0.102475
580,0.0170557,0.0966088
580,0.0459769,0.0915244
580,0.0545849,0.0235856
580,0.183918,0.0827482
580,0.0420969,0.0897407
580,0.00786038,0.0721529
580,0.220192,0.119984
580,0.0999388,0.0600893
580,0.0265334,0.0314805
580,0.095949,0.0569295
580,0.10987,0.034781
580,0.136937,0.0590915
580,0.0134346,0.0403306
580,0.0710515,0.030842
580,0.0335726,0.0447566
580,0.110574,0.00404273
580,0.117724,0.0264549
580,0.0749747,0.0838884
580,0.107288,0.0238354
580,0.0499162,0.0100696
580,0.236274,0.0709259
580,0.0213483,0.0213198
580,0.0123744,0.0342433
580,0.0309854,0.0895864
580,0.0819661,0.113513
580,0.0820136,0.0867656
580,0.047161,0.00239398
580,0.0187575,0.0162514
580,0.0155773,0.0912392
580,0.376672,0.0943145
580,0.137929,0.0489264
580,0.0146389,0.0558173
580,0.148171,0.0923549
580,0.0280487,0.027343
580,0.221097,0.0306247
580,0.00888458,0.0361355
580,0.0034085,0.0869937
580,0.290604,0.0489982
580,0.0543409,0.020011
580,0.0100582,0.105669
580,0.0558161,0.0907517
580,0.0569189,0.105676
580,0.0384272,0.0238865
580,0.0210445,0.0470373
580,0.18148,0.00261634
580,0.0348702,0.0521576
580,0.148945,0.0595644
580,0.10119,0.0294711
580,0.0960559,0.0269168
580,0.0402558,0.0389793
580,0.0359654,0.127672
580,0.0633009,0.0691049
580,0.0961695,0.0766887
580,0.0625184,0.00413476
580,0.166051,0.0367888
580,0.0146219,0.0198235
580,0.0809408,0.0198715
580,0.0259596,0.0785841
580,0.103524,0.0842892
580,0.256721,0.0654977
580,0.117774,0.0962136
580,0.0371314,0.0160991
580,0.0710752,0.0290602
580,0.11173,0.0283107
580,0.0874828,0.044035
580,0.121915,0.0426615
580,0.146831,0.0308274
580,0.150125,0.0352561
580,0.115986,0.0602117
580,0.268332,0.050667
580,0.274509,0.00983171
580,0.0111973,0.0958326
580,0.0269876,0.0885554
580,0.0988512,0.0358716
580,0.00632406,0.0804469
580,0.158661,0.0248366
580,0.298079,0.0514726
580,0.0779146,0.0172546
580,0.125018,0.0227842
580,0.114085,0.11082
580,0.00279124,0.0698644
580,0.0104395,0.039614
580,0.170368,0.00735399
580,0.027954,0.00644756
580,0.081383,0.031963
580,0.104028,0.0664145
580,0.0977572,0.00246791
580,0.208602,0.0668391
580,0.0314784,0.0322851
580,0.00410718,0.0238331
580,0.138046,0.0429868
580,0.13153,0.0980436
580,0.0477256,0.0864864
580,0.172462,0.077735
580,0.0418066,0.00267607
580,0.0655308,0.0799637
580,0.0256835,0.0601543
580,0.0521355,0.105434
580,0.0954341,0.0383402
580,0.181674,0.0200741
580,0.00174272,0.0344741
580,0.0511301,0.110084
580,0.0930138,0.0140539
580,0.0220148,0.032074
580,0.0359171,0.0527701
580,0.122287,0.121502
