time,prey,pred
0.000000,500,800
0.000101,499,801
0.000109,498,802
0.000147,498,801
0.000262,497,802
0.000368,496,803
0.000571,496,802
0.000738,495,803
0.000979,494,804
0.001041,493,805
0.001170,493,804
0.001267,492,805
0.001485,491,806
0.001602,491,805
0.001624,492,805
0.001640,491,806
0.001738,491,805
0.001926,490,806
0.002100,490,805
0.002134,490,804
0.002170,490,803
0.002235,489,804
0.002292,489,803
0.002433,489,802
0.002669,488,803
0.002716,488,802
0.002720,487,803
0.002833,487,802
0.002881,486,803
0.002894,487,803
0.003193,487,802
0.003279,486,803
0.003381,486,802
0.003653,485,803
0.003781,486,803
0.003795,485,804
0.003816,485,803
0.003933,486,803
0.003957,486,802
0.004043,487,802
0.004247,486,803
0.004251,487,803
0.004269,487,802
0.004326,487,801
0.004343,488,801
0.004365,488,800
0.004459,488,799
0.004514,488,798
0.004522,487,799
0.004640,486,800
0.004660,486,799
0.004894,485,800
0.005013,485,799
0.005126,486,799
0.005148,485,800
0.005174,485,799
0.005280,484,800
0.005301,485,800
0.005319,486,800
0.005330,487,800
0.005460,486,801
0.005631,486,800
0.005649,485,801
0.005687,484,802
0.006027,483,803
0.006468,484,803
0.006912,484,802
0.006925,483,803
0.006932,482,804
0.007000,481,805
0.007017,481,804
0.007153,481,803
0.007265,481,802
0.007439,482,802
0.007532,482,801
0.007626,481,802
0.007984,481,801
0.008107,480,802
0.008280,479,803
0.008281,478,804
0.008431,478,803
0.008804,477,804
0.008884,478,804
0.008898,477,805
0.009166,477,804
0.009548,478,804
0.010138,478,803
0.010297,477,804
0.010465,477,803
0.010533,476,804
0.010578,477,804
0.010599,476,805
0.010661,476,804
0.010815,476,803
0.010827,476,802
0.010831,477,802
0.010844,477,801
0.011063,478,801
0.011163,478,800
0.011200,479,800
0.011301,478,801
0.011333,478,800
0.011371,478,799
0.011471,477,800
0.011812,476,801
0.011815,476,800
0.012089,476,799
0.012137,476,798
0.012290,476,797
0.012458,475,798
0.012465,476,798
0.012581,477,798
0.012615,478,798
0.012703,479,798
0.012732,478,799
0.012827,479,799
0.012984,480,799
0.013001,479,800
0.013020,480,800
0.013213,480,799
0.013456,480,798
0.013574,480,797
0.013575,481,797
0.013642,481,796
0.013684,481,795
0.013766,481,794
0.013871,481,793
0.013909,481,792
0.014058,480,793
0.014220,479,794
0.014413,479,793
0.014564,478,794
0.014740,477,795
0.014764,478,795
0.014922,478,794
0.014936,477,795
0.014937,476,796
0.015083,476,795
0.015086,475,796
0.015093,476,796
0.015504,475,797
0.015516,474,798
0.015568,473,799
0.015577,474,799
0.015665,474,798
0.015810,473,799
0.015847,473,798
0.015870,473,797
0.015897,472,798
0.016087,472,797
0.016117,471,798
0.016210,470,799
0.016224,471,799
0.016344,471,798
0.016539,471,797
0.016591,470,798
0.016757,469,799
0.016770,468,800
0.016789,468,799
0.016941,468,798
0.017354,467,799
0.017364,467,798
0.017383,466,799
0.017487,466,798
0.017878,467,798
0.018004,467,797
0.018008,467,796
0.018079,466,797
