n,integral
10,0.975154
10,0.995189
10,1.011154
10,0.994797
10,0.999312
10,0.988539
10,0.980317
10,0.992140
10,0.972248
10,0.991191
10,0.987366
10,1.001144
10,1.011212
10,1.005861
10,1.020731
10,0.946398
10,0.986049
10,0.995412
10,0.972049
10,1.029284
10,1.021046
10,1.014782
10,0.999323
10,1.006903
10,1.017686
10,0.987869
10,0.996082
10,0.974987
10,1.000602
10,1.008448
10,0.999007
10,1.026045
10,0.994024
10,0.990660
10,1.008670
10,0.995140
10,1.024828
10,1.000883
10,1.017929
10,0.967098
10,1.004396
10,0.994898
10,1.031661
10,0.986350
10,1.011649
10,1.029122
10,0.978917
10,1.012749
10,0.993213
10,0.994631
10,1.009309
10,0.990139
10,1.009922
10,1.026726
10,1.023223
10,1.003393
10,1.008695
10,0.986639
10,1.011882
10,0.998443
10,1.027648
10,1.003403
10,1.021098
10,1.012443
10,0.993579
10,1.031893
10,0.978696
10,1.020718
10,0.993197
10,1.019339
10,0.992722
10,1.014053
10,1.013785
10,1.014831
10,0.967804
10,0.991710
10,1.019121
10,1.002930
10,0.999758
10,1.022027
10,1.010544
10,0.971510
10,1.003528
10,0.995188
10,0.971921
10,0.973143
10,1.026116
10,1.005205
10,0.986871
10,1.008938
10,1.014177
10,1.020192
10,0.988751
10,1.015026
10,0.982934
10,1.012204
10,0.971691
10,0.996076
10,0.976728
10,1.006685
10,1.019105
10,0.978520
10,1.025966
10,0.955063
10,0.989114
10,1.004507
10,1.028772
10,1.009140
10,0.982494
10,0.990284
10,0.995150
10,1.003275
10,0.981225
10,0.981569
10,1.001331
10,1.023806
10,1.011867
10,1.016763
10,1.011673
10,0.984303
10,0.955665
10,1.020326
10,1.004075
10,1.010441
10,1.032134
10,1.000388
10,0.985474
10,0.990869
10,1.007387
10,0.978995
10,0.985923
10,0.985880
10,1.013482
10,1.015838
10,0.986873
10,0.989575
10,1.015798
10,0.986452
10,1.001281
10,1.023826
10,0.983564
10,1.017776
10,0.995557
10,0.981834
10,0.985925
10,1.011489
