n,integral
20,1.003453
20,1.001967
20,1.000331
20,0.994816
20,0.990565
20,0.978444
20,1.004433
20,1.006269
20,1.006350
20,1.001890
20,0.972289
20,1.004991
20,0.986304
20,1.014751
20,1.005031
20,1.001486
20,1.015290
20,1.000103
20,0.990728
20,1.012527
20,0.989273
20,0.990267
20,0.991340
20,0.994005
20,1.002715
20,0.984670
20,1.010190
20,0.981469
20,0.991585
20,1.009988
20,1.002880
20,0.997299
20,1.013125
20,0.998784
20,1.013998
20,0.987635
20,0.996883
20,0.995703
20,0.992387
20,0.987407
20,0.986693
20,1.005362
20,1.025651
20,0.997388
20,0.976739
20,1.003632
20,1.002993
20,1.001518
20,1.002613
20,0.992772
20,0.998361
20,1.008480
20,1.008012
20,1.011174
20,0.989505
20,0.984978
20,1.011325
20,1.015465
20,1.000332
20,0.986432
20,0.996416
20,1.002797
20,1.000797
20,0.977281
20,1.016807
20,0.995817
20,1.005080
20,0.981776
20,1.008892
20,0.989903
20,1.006098
20,0.996864
20,1.003581
20,0.999856
20,0.989187
20,0.997936
20,1.003228
20,0.999787
20,1.003588
20,0.971300
20,0.999658
20,1.000577
20,0.983466
20,0.989760
20,0.991391
20,0.972693
20,1.007663
20,0.991998
20,1.007336
20,0.995704
20,0.965642
20,1.010760
20,0.982460
20,1.003127
20,0.999394
20,0.988496
20,0.995725
20,0.993596
20,1.009714
20,0.988084
20,0.995237
20,1.015313
20,1.013775
20,0.998492
20,1.020311
20,1.016778
20,1.018263
20,0.993448
20,1.007182
20,1.000468
20,1.007460
20,0.987763
20,0.999439
20,0.995939
20,1.002611
20,0.983779
20,0.984659
20,1.002534
20,0.990782
20,1.010318
20,0.993840
20,1.007536
20,0.984461
20,0.995402
20,0.984793
20,1.013070
20,1.001030
20,0.996228
20,1.005979
20,1.008563
20,1.001959
20,0.990597
20,1.016314
20,0.984042
20,1.011654
20,1.005949
20,0.998693
20,1.001517
20,1.018682
20,1.008443
20,1.006583
20,1.021749
20,0.983277
20,1.001433
20,1.006103
20,1.005011
20,1.011260
20,0.967880
20,1.005134
20,1.006327
20,0.988322
20,1.000753
20,0.988833
20,0.986797
20,1.001438
20,0.999646
20,0.998881
20,0.994065
20,0.987665
20,0.997713
20,0.992847
20,1.005545
20,0.984256
20,1.008204
20,0.992260
20,0.978853
20,1.002907
20,0.994397
20,1.000063
20,1.005058
20,1.010543
20,1.012498
20,0.998066
20,0.994782
20,1.017788
20,1.005974
20,0.989983
20,0.978923
20,0.988594
20,1.003163
20,0.992420
20,0.999608
20,1.004497
20,0.996952
20,0.977164
20,0.987170
20,1.010499
20,1.002237
20,1.009007
20,1.000339
20,1.008081
20,1.018182
20,0.988909
20,1.010445
20,1.017367
20,1.008920
20,0.996991
20,0.986489
20,1.001491
20,0.997832
20,1.003443
20,1.011156
20,1.003887
20,1.001281
20,0.974528
20,0.991214
20,0.998355
20,0.995137
20,0.998292
20,0.988525
20,0.987582
20,1.017119
20,0.999840
20,0.995207
20,0.978619
20,0.988039
20,1.004912
20,0.957508
20,1.007804
20,1.006208
20,0.975896
20,0.989873
20,1.020173
20,0.989710
20,1.007334
20,0.986420
20,0.997022
20,0.992143
20,0.990311
20,1.008333
20,0.972689
20,1.005434
20,0.997253
20,0.993418
20,1.004053
20,1.017890
20,1.011248
20,0.992071
20,0.998399
20,1.009530
20,0.985483
20,0.984199
20,1.002833
20,1.017638
20,1.018993
20,1.013766
20,0.992212
20,0.982957
20,0.992679
20,1.006672
20,0.987383
20,0.998984
20,0.991399
20,1.000023
20,1.003988
20,1.003860
20,1.012482
20,0.987689
20,0.996892
20,1.006665
20,1.004392
20,0.982891
20,0.990189
20,1.013779
20,0.997346
20,0.990567
20,0.991062
20,1.002943
20,1.011652
20,1.001587
20,0.986617
20,1.018564
20,0.999649
20,1.003362
20,0.997531
20,1.005866
20,0.999126
20,1.010570
20,0.990757
20,0.991772
20,0.988055
20,1.007554
20,0.992714
20,0.995793
20,1.015435
20,1.013060
20,1.015302
20,0.998539
20,0.996584
20,1.025587
20,1.000809
20,0.987574
20,1.004092
20,1.009729
20,1.005825
20,0.999713
20,1.012468
20,0.980931
30,1.004031
30,1.006770
30,1.016014
30,0.999976
30,1.008622
30,1.006512
30,0.993044
30,0.999506
30,0.998004
30,1.001949
30,1.003514
30,0.998813
30,1.004454
30,1.001947
30,0.997600
30,1.003633
30,0.994671
30,1.011761
30,0.998340
30,0.987658
30,0.998875
30,0.997793
30,1.005899
30,1.005868
30,1.001195
30,0.992325
30,0.989972
30,0.991518
30,0.997032
30,0.995385
30,0.989577
30,1.019460
30,1.005488
30,0.993066
30,1.013108
30,1.001728
30,0.996619
30,1.007923
30,1.004801
30,1.002321
30,1.007789
30,0.982603
30,1.006009
30,0.996382
30,0.998231
30,1.006837
30,1.004023
30,1.013882
30,1.003718
30,0.997179
30,1.002352
30,1.006228
30,1.009230
30,0.998432
30,1.006360
30,0.991062
30,0.994044
30,1.008067
30,1.010850
30,0.988392
30,0.999690
30,0.984504
30,1.002332
30,1.007293
30,1.000429
30,0.996673
30,0.988924
30,1.012463
30,1.001385
30,1.004801
30,0.993334
30,0.992529
30,0.997875
30,0.997671
30,1.007485
30,0.975642
30,1.007531
30,0.984330
30,1.010429
30,0.998545
30,0.987118
30,1.009556
30,0.990452
30,0.999821
30,1.004843
30,0.996873
30,1.021124
30,0.984479
30,1.003361
30,0.998176
30,1.009718
30,0.987758
30,0.994444
30,1.012391
30,0.996155
30,0.995014
30,1.005078
30,1.006721
30,1.011168
30,0.998231
30,0.996435
30,1.000266
30,1.007449
30,1.002538
30,0.997438
30,0.999895
30,1.001599
30,1.003272
30,1.011086
30,0.996166
30,0.978550
30,0.983087
30,1.007357
30,1.000060
30,1.001533
30,0.983354
30,1.001479
30,1.007957
30,1.001234
30,0.991223
30,1.014479
30,0.988064
30,1.010207
30,1.006706
30,0.991236
30,1.002890
30,1.012688
30,1.001267
30,1.004821
30,1.006518
30,1.003336
30,0.997316
30,0.988749
30,1.010619
30,0.987141
30,0.994193
30,1.001989
30,1.013135
30,1.014387
30,0.999254
30,1.010791
30,1.012366
30,1.001073
30,0.988953
30,0.999874
30,0.999666
30,0.996500
30,0.997720
30,1.008640
30,1.013503
30,0.988584
30,0.995019
30,1.008798
30,0.993671
30,1.000466
30,0.999035
30,0.993801
30,0.997774
30,0.998998
30,1.001778
30,1.011552
30,1.004474
30,1.013111
30,1.004837
30,1.002792
30,1.013475
30,1.000295
30,1.013474
30,0.991340
30,1.004958
30,0.998211
30,0.994810
30,1.006528
30,1.007496
30,0.995158
30,0.981273
30,0.999162
30,0.999225
30,0.985621
30,0.987249
30,0.997449
30,1.012410
30,1.002147
30,0.989143
30,1.008085
30,1.003909
30,1.008214
30,1.003864
30,1.006058
30,1.010383
30,1.004154
30,1.010224
30,0.991852
30,0.988905
30,1.011646
30,0.988774
30,0.982610
30,0.998096
30,0.984489
30,0.990001
30,0.990632
30,0.978700
30,1.002128
30,0.985120
30,0.999054
30,1.013568
30,1.005828
30,0.987646
30,1.007995
30,0.996179
30,0.985461
30,0.994377
30,0.999757
30,1.005352
30,1.006615
30,0.995913
30,0.987418
30,0.997094
30,1.006781
30,1.015290
30,1.000211
30,1.000285
30,0.989820
30,0.997737
30,0.996249
30,0.988895
30,0.994470
30,1.016374
30,0.988520
30,0.991767
30,0.998106
30,1.002568
30,1.005174
30,1.005400
30,1.005602
30,1.001354
30,1.000959
30,1.002411
30,1.001127
30,0.991218
30,0.992455
30,1.002245
30,1.015960
30,1.003019
30,0.996089
30,0.989978
30,1.012173
30,0.986476
30,0.983044
30,0.994255
30,1.019492
30,0.988412
30,1.024668
30,1.013489
30,0.991445
30,1.011206
30,1.008099
30,0.993615
30,0.996138
30,0.999852
30,0.996623
30,0.990031
30,0.983116
30,1.009936
30,0.998837
30,0.992716
30,0.987885
30,1.010719
30,1.004950
30,1.014228
30,1.004352
30,0.997258
30,1.015134
30,1.016025
30,0.982269
30,1.008932
30,1.007945
30,1.004534
30,1.004761
30,1.010261
30,1.007831
30,1.002492
30,0.998365
30,0.981002
30,1.003729
30,0.994719
30,1.006002
30,1.002876
30,1.002301
30,1.008744
30,1.007364
30,1.004393
30,0.995973
30,1.009182
30,0.999175
30,0.991502
30,1.011649
30,0.991617
30,0.977877
30,1.016284
30,1.004924
30,0.973638
30,0.998147
30,0.997329
30,0.993282
30,0.989832
30,0.980808
30,1.000860
30,0.990835
30,1.011414
30,1.002239
30,1.004794
30,1.008118
30,1.017048
30,1.016223
30,0.984604
30,1.011243
30,0.998689
30,0.995582
30,1.006032
30,0.986382
30,0.996471
30,1.021242
30,1.016518
30,1.008683
30,0.999698
30,1.003714
30,1.003421
30,1.006595
30,1.000299
30,1.000325
30,0.996531
30,1.007518
30,0.987180
30,0.990989
30,1.005578
30,1.007969
30,1.009089
30,0.994121
30,0.997271
30,1.009959
30,0.995371
30,1.005236
30,0.998441
30,1.013401
30,1.001933
30,1.000056
30,0.983826
30,1.009625
30,1.017582
30,0.993624
30,0.988481
30,0.988450
30,0.982578
30,0.987875
30,0.991262
30,1.012285
30,1.003670
30,0.987497
30,0.985482
30,0.980151
30,1.010156
30,1.005671
30,0.985361
30,0.997354
30,1.020940
30,0.993582
30,0.994403
30,1.020343
30,1.001579
30,1.005084
30,1.002558
30,0.997614
30,0.995410
30,0.998861
30,0.987895
30,1.000083
30,1.008666
30,1.008662
30,0.991423
30,0.988732
30,1.006561
30,0.997809
30,1.010739
30,1.001260
30,1.009469
30,1.002514
30,0.988406
30,0.994125
30,1.011005
30,0.996359
30,0.989219
30,1.014353
30,0.988224
30,0.990627
30,1.000264
30,1.003268
30,1.011736
30,0.990979
30,0.995319
30,1.012082
30,0.997663
30,1.001317
30,1.006934
30,1.005394
30,0.990532
30,1.003253
30,1.002587
30,0.995385
30,1.005846
30,0.992883
30,1.000647
30,0.990219
30,0.995505
30,1.001763
30,1.003391
30,1.006584
30,0.980145
30,0.993637
30,0.983084
30,0.992706
30,0.994155
30,1.003996
30,1.011264
30,1.009645
30,0.991202
30,1.013780
30,0.996628
30,1.005465
30,1.006188
30,0.999258
30,1.006286
30,1.001684
30,1.012431
30,1.006501
30,1.000740
30,0.994291
30,1.011200
30,0.996612
30,1.002931
30,1.015323
30,1.012577
30,1.013628
30,0.996847
30,0.992101
30,1.004262
30,0.988104
30,1.014682
30,1.003144
30,1.015517
30,1.004678
30,0.992998
30,1.000156
30,0.995384
30,1.005286
30,0.977119
30,0.998937
30,1.005493
30,0.999925
30,0.983473
30,0.983424
30,1.000449
30,1.004289
30,1.009748
30,1.008324
30,1.012135
30,1.000486
30,0.991917
30,0.996616
30,1.008199
30,0.994667
30,0.991178
30,0.990255
30,1.006805
30,0.982027
30,1.007682
30,0.997050
30,1.003620
30,1.005768
30,0.975319
30,1.003681
30,1.003306
30,0.983274
30,0.992700
30,0.996908
30,1.017000
30,1.000122
30,1.006143
30,0.990653
30,1.007213
30,0.994086
30,0.993255
30,1.009702
30,0.991889
30,0.995875
30,1.002177
30,0.978859
30,1.002900
30,0.994858
30,0.998229
40,0.998114
40,1.001697
40,1.000194
40,1.001499
40,0.999112
40,1.004135
40,1.006902
40,0.991931
40,0.996408
40,1.000173
40,1.002592
40,1.014071
40,1.009252
40,1.002166
40,1.012365
40,0.996472
40,1.007751
40,0.994189
40,1.004365
40,1.010699
40,1.013159
40,0.987017
40,1.008050
40,0.994749
40,1.013095
40,1.008188
40,1.007358
40,0.985482
40,0.999104
40,0.993190
40,1.000477
40,1.009079
40,1.006573
40,0.998892
40,0.996389
40,1.000152
40,1.001269
40,0.997533
40,1.000067
40,1.008545
40,0.985357
40,1.003601
40,1.009326
40,0.992546
40,0.988485
40,0.994279
40,0.994034
40,1.000511
40,0.997765
40,0.999174
40,1.008398
40,1.001873
40,1.004416
40,1.008188
40,1.000462
40,0.996672
40,1.002372
40,1.006361
40,1.009017
40,1.011887
40,1.000054
40,0.999967
40,1.005770
40,0.994409
40,0.997067
40,1.006439
40,1.009326
40,1.003867
40,1.005144
40,1.000749
40,0.990281
40,0.995324
40,0.997029
40,0.998959
40,0.994381
40,0.994693
40,1.006787
40,1.006263
40,1.019051
40,1.008636
40,0.996288
40,0.997851
40,0.996905
40,1.019073
40,1.000392
40,0.993951
40,0.981904
40,1.001140
40,0.998822
40,1.007607
40,1.002917
40,0.990900
40,0.988381
40,1.002648
40,0.991048
40,0.987016
40,0.995697
40,0.988196
40,0.993470
40,1.005719
40,1.001774
40,0.985431
40,0.993604
40,1.002235
40,0.991781
40,0.995073
40,1.005186
40,0.992131
40,1.003356
40,1.010375
40,0.999553
40,1.004121
40,0.998578
40,0.988726
40,1.006327
40,1.009457
40,1.001672
40,0.997044
40,1.014458
40,0.997169
40,1.001758
40,1.008234
40,1.012701
40,0.988154
40,0.989963
40,0.995172
40,1.002690
40,0.994784
40,0.994446
40,0.998985
40,1.002325
40,1.003622
40,0.991432
40,1.004581
40,1.010780
40,1.006942
40,1.009271
40,0.988233
40,1.007214
40,1.000140
40,1.005429
40,1.004859
40,1.013041
40,0.992224
40,1.007915
40,1.014872
40,1.006160
40,0.998303
40,1.003015
40,1.005046
40,0.984678
40,1.007328
40,1.000332
40,0.997421
40,0.990285
40,0.979742
40,1.003216
40,1.004004
40,1.009504
40,0.999883
40,0.997465
40,1.005576
40,0.993866
40,0.998700
40,1.015810
40,0.998381
40,1.006864
40,1.003657
40,0.996674
40,1.007712
40,1.006977
40,0.997065
40,0.990730
40,0.993541
40,1.005285
40,0.997941
40,0.979222
40,0.998717
40,1.009528
40,1.000790
40,1.001933
40,0.993549
40,0.992596
40,0.991876
40,0.987285
40,0.979435
40,0.990522
40,1.003989
40,1.006300
40,1.005974
40,1.000118
40,1.006998
40,0.990195
40,1.009520
40,0.985383
40,0.993666
40,0.989332
40,1.016091
40,0.996106
40,1.005715
40,0.997955
40,0.998264
40,1.006487
40,0.993494
40,1.008587
40,0.987870
40,0.998840
40,1.018822
40,0.993115
40,0.986671
40,0.993197
40,1.002621
40,1.008924
40,0.999211
40,0.999830
40,0.996037
40,0.994207
40,0.988111
40,1.007061
40,0.998881
40,0.993994
40,0.992022
40,0.982182
40,1.004636
40,0.989104
40,0.991276
40,0.995798
40,1.006423
40,1.014992
40,1.002473
40,0.990616
40,0.990470
40,1.006421
40,1.006036
40,0.985472
40,1.001282
40,0.992720
40,1.021623
40,0.993613
40,0.992487
40,0.995918
40,0.985673
40,1.013480
40,1.001537
40,0.994939
40,1.009876
40,1.005537
40,1.004484
40,0.999251
40,0.984649
40,0.991759
40,0.995837
40,0.988012
40,0.999653
40,0.999511
40,0.999938
40,0.992269
40,1.002986
40,0.994763
40,0.995728
40,1.000332
40,0.994628
40,1.001497
40,0.996413
40,1.002550
40,1.001251
40,1.011663
40,1.004857
40,1.008120
40,0.992302
40,0.993933
40,0.998588
40,0.995235
40,1.010975
40,0.996266
40,0.997283
40,1.003841
40,1.012200
40,1.003205
40,0.978249
40,0.999054
40,0.993133
40,1.001740
40,0.988426
40,0.996811
40,1.007729
40,0.988949
40,1.005852
40,0.995482
40,0.993547
40,0.987470
40,1.006283
40,0.992017
40,0.995949
40,1.005379
40,1.011464
40,1.009587
40,1.010474
40,1.008219
40,0.989952
40,1.007146
40,1.007383
40,1.002749
40,1.004916
40,0.996458
40,0.999928
40,0.995680
40,1.004166
40,1.001700
40,1.007938
40,0.986109
40,0.997797
40,0.993392
40,0.993393
40,1.001707
40,1.006204
40,1.016453
40,0.983616
40,1.004009
40,0.990133
40,0.997836
40,1.000738
40,1.007498
40,1.012182
40,1.008202
40,1.007279
40,1.008292
40,1.003707
40,1.013983
40,1.009862
40,1.002528
40,1.007366
40,0.992741
40,0.994325
40,1.012796
40,0.980582
40,1.005977
40,1.001106
40,1.004899
40,0.997914
40,0.983275
40,1.000894
40,1.010943
40,1.001661
40,0.995228
40,1.012734
40,1.009282
40,1.010082
40,0.992036
40,1.003682
40,1.007148
40,1.004427
40,1.004457
40,0.993752
40,0.995578
40,0.990215
40,0.995133
40,1.011193
40,1.005957
40,1.007471
40,1.007808
40,0.999955
40,0.990650
40,0.994908
40,0.986609
40,1.004764
40,1.012408
40,0.997667
40,0.992579
40,1.002640
40,0.995872
40,1.007470
40,0.997843
40,0.980189
40,0.991406
40,1.004669
40,1.002085
40,1.003766
40,0.998493
40,1.007354
40,0.993973
40,0.990540
40,0.991522
40,0.998292
40,1.011309
40,0.996956
40,1.000191
40,1.003636
40,0.981201
40,0.999539
40,1.002961
40,1.005089
40,0.996381
40,0.996652
40,1.010619
40,0.993958
40,0.994694
40,1.011037
40,0.997306
40,1.005431
40,0.994315
40,0.995789
40,1.009052
40,0.992049
40,0.994830
40,1.002201
40,0.994402
40,0.983817
40,0.995684
40,0.991030
40,0.995579
40,1.011392
40,0.989541
40,0.993588
40,0.996359
40,0.983856
40,1.002110
40,1.005291
40,1.012038
40,0.994841
40,1.005690
40,0.997579
40,0.996576
40,0.998382
40,0.996639
40,1.006841
40,1.005251
40,1.014198
40,0.987932
40,1.011307
40,1.014078
40,1.000065
40,0.998722
40,0.988923
40,1.002216
40,0.998682
40,0.988122
40,0.997825
40,0.987235
40,0.984818
40,1.009042
40,1.000456
40,0.994054
40,1.000126
40,0.997517
40,0.999385
40,0.993374
40,0.987540
40,0.994583
40,0.996769
40,0.996461
40,0.999969
40,0.991145
40,0.991910
40,0.999990
40,1.006779
40,1.011143
40,1.006752
40,0.996832
40,1.006939
40,0.996858
40,0.971705
40,1.004885
40,0.998374
40,1.001383
40,1.000898
40,1.001847
40,0.989811
40,1.002215
40,0.993319
40,1.004606
40,0.997925
40,1.011914
40,1.009900
40,0.987516
40,1.003994
40,1.004478
40,1.007288
40,1.006015
40,1.000460
40,0.999167
40,0.996952
40,1.001510
40,1.005326
40,1.004869
40,0.997448
40,1.001817
40,0.995134
40,1.006324
40,1.000536
40,0.991392
40,0.998130
40,0.994006
40,0.993540
40,1.003510
40,1.001851
40,1.004541
