realization,energy,pressure,acc_ratio
1,-21.820521,0.079043,1.000000
1,-27.111735,0.075317,1.000000
1,-30.727131,0.082921,0.970000
1,-32.038538,0.081221,0.920000
1,-36.892221,0.077868,0.950000
1,-40.209255,0.086836,0.920000
1,-40.175746,0.082385,0.910000
1,-40.168140,0.085892,0.880000
1,-38.554151,0.090061,0.880000
1,-34.920115,0.108026,0.880000
1,-43.831509,0.079585,0.860000
1,-41.483173,0.080999,0.900000
1,-44.590029,0.075483,0.920000
1,-47.405483,0.078796,0.950000
1,-46.231951,0.079156,0.950000
1,-43.897604,0.091185,0.840000
1,-46.989893,0.086010,0.890000
1,-52.385668,0.072900,0.900000
1,-48.551871,0.077096,0.940000
1,-43.033553,0.095682,0.910000
1,-42.182390,0.084062,0.860000
1,-35.762080,0.105621,0.900000
1,-35.690715,0.118760,0.920000
1,-34.163258,0.116670,0.800000
1,-37.581840,0.116544,0.880000
1,-42.645318,0.089106,0.920000
1,-39.352275,0.087357,0.910000
1,-40.524854,0.088410,0.930000
1,-38.541948,0.100695,0.830000
1,-42.261927,0.094967,0.830000
1,-41.859060,0.097792,0.900000
1,-42.920638,0.110666,0.900000
1,-46.192249,0.090934,0.850000
1,-43.530763,0.106695,0.870000
1,-49.514960,0.082945,0.920000
1,-46.241126,0.108415,0.900000
1,-51.919782,0.080357,0.860000
1,-47.601891,0.094096,0.860000
1,-52.629122,0.082904,0.880000
1,-44.011196,0.121679,0.890000
1,-36.205818,0.132369,0.820000
1,-45.268763,0.112295,0.850000
1,-47.133515,0.106493,0.820000
1,-44.164490,0.115190,0.820000
1,-50.953726,0.092092,0.910000
1,-52.744877,0.092839,0.890000
1,-47.608299,0.106324,0.870000
1,-46.036063,0.088801,0.830000
1,-49.503056,0.081369,0.880000
1,-52.685389,0.075547,0.860000
1,-48.975208,0.084646,0.840000
1,-45.631079,0.093965,0.890000
1,-50.334828,0.080123,0.890000
1,-50.485234,0.084723,0.870000
