time,prey,pred
0.000000,800,800
0.000075,801,800
0.000081,800,801
0.000109,799,802
0.000194,798,803
0.000273,797,804
0.000423,797,803
0.000547,796,804
0.000725,795,805
0.000771,794,806
0.000866,794,805
0.000937,793,806
0.001099,794,806
0.001185,793,807
0.001202,794,807
0.001213,793,808
0.001285,793,807
0.001424,792,808
0.001552,791,809
0.001577,791,808
0.001604,791,807
0.001652,790,808
0.001694,789,809
0.001797,788,810
0.001971,787,811
0.002005,787,810
0.002008,786,811
0.002091,785,812
0.002127,784,813
0.002136,785,813
0.002355,784,814
0.002418,783,815
0.002493,783,814
0.002692,782,815
0.002786,783,815
0.002796,782,816
0.002811,782,815
0.002897,783,815
0.002915,783,814
0.002977,784,814
0.003127,783,815
0.003130,784,815
0.003143,784,814
0.003185,784,813
0.003197,785,813
0.003213,785,812
0.003282,785,811
0.003323,785,810
0.003328,784,811
0.003415,783,812
0.003429,783,811
0.003601,782,812
0.003688,782,811
0.003770,783,811
0.003787,782,812
0.003806,781,813
0.003883,780,814
0.003898,781,814
0.003912,782,814
0.003920,783,814
0.004015,782,815
0.004140,781,816
0.004153,780,817
0.004181,779,818
0.004429,778,819
0.004751,779,819
0.005075,779,818
0.005084,778,819
0.005089,777,820
0.005139,776,821
0.005152,776,820
0.005251,775,821
0.005332,774,822
0.005459,775,822
0.005526,775,821
0.005595,774,822
0.005856,774,821
0.005945,773,822
0.006071,772,823
0.006071,771,824
0.006181,771,823
0.006452,770,824
0.006510,771,824
0.006520,770,825
0.006715,769,826
0.006993,770,826
0.007421,770,825
0.007537,769,826
0.007658,769,825
0.007708,768,826
0.007741,769,826
0.007756,768,827
0.007801,768,826
0.007913,767,827
0.007921,767,826
0.007924,768,826
0.007933,768,825
0.008093,769,825
0.008165,768,826
0.008192,769,826
0.008265,768,827
0.008288,768,826
0.008316,768,825
0.008388,767,826
0.008635,766,827
0.008637,766,826
0.008836,766,825
0.008870,766,824
0.008981,766,823
0.009103,765,824
0.009108,766,824
0.009192,767,824
0.009216,768,824
0.009280,769,824
0.009302,768,825
0.009370,769,825
0.009484,770,825
0.009496,769,826
0.009510,770,826
0.009650,769,827
0.009826,769,826
0.009911,769,825
0.009912,770,825
0.009960,770,824
0.009991,770,823
0.010050,770,822
0.010126,770,821
0.010154,770,820
0.010261,769,821
0.010379,768,822
0.010519,768,821
0.010628,767,822
0.010756,766,823
0.010772,767,823
0.010887,767,822
0.010897,768,822
0.010898,767,823
0.011003,767,822
0.011006,766,823
0.011010,767,823
0.011307,766,824
0.011316,765,825
0.011353,764,826
0.011360,765,826
0.011424,765,825
0.011528,764,826
0.011555,764,825
0.011572,764,824
0.011592,763,825
0.011728,762,826
0.011750,761,827
0.011817,762,827
0.011827,763,827
0.011913,762,828
0.012054,762,827
0.012091,761,828
0.012210,760,829
0.012220,759,830
0.012233,759,829
0.012343,759,828
0.012639,758,829
0.012647,758,828
0.012660,757,829
0.012735,756,830
0.013016,757,830
0.013106,757,829
0.013109,757,828
0.013160,756,829
0.013185,755,830
0.013247,755,829
0.013328,755,828
0.013414,755,827
0.013497,756,827
