realization,acc_ratio,energy
1,0.83,-15000
1,0.66,-31000
1,0.62,-39000
1,0.66,-50000
1,0.53,-57000
1,0.55,-59000
1,0.63,-65000
1,0.59,-68000
1,0.59,-71000
1,0.58,-75000
1,0.65,-76000
1,0.6,-77000
1,0.59,-80000
1,0.64,-82000
1,0.63,-86000
1,0.66,-87000
1,0.71,-88000
1,0.68,-89000
1,0.75,-92000
1,0.63,-93000
1,0.75,-94000
1,0.72,-94000
1,0.73,-95000
1,0.72,-95000
1,0.65,-96000
1,0.62,-97000
1,0.72,-99000
1,0.79,-100000
1,0.72,-103000
1,0.74,-104000
1,0.71,-104000
1,0.63,-104000
1,0.72,-106000
1,0.67,-106000
1,0.7,-106000
1,0.64,-107000
1,0.64,-107000
1,0.7,-108000
1,0.75,-109000
1,0.73,-109000
1,0.73,-109000
1,0.77,-109000
1,0.67,-109000
1,0.71,-109000
1,0.74,-110000
1,0.67,-110000
1,0.71,-110000
1,0.75,-110000
1,0.71,-111000
1,0.67,-111000
1,0.72,-111000
1,0.68,-111000
1,0.72,-111000
1,0.7,-111000
1,0.67,-111000
1,0.73,-111000
1,0.68,-111000
1,0.77,-111000
1,0.68,-111000
1,0.72,-111000
1,0.67,-111000
1,0.68,-111000
1,0.68,-111000
1,0.72,-111000
1,0.7,-111000
1,0.73,-111000
1,0.7,-111000
1,0.68,-111000
1,0.66,-112000
1,0.74,-112000
1,0.71,-112000
1,0.72,-112000
1,0.8,-112000
1,0.67,-112000
1,0.74,-112000
1,0.75,-112000
1,0.81,-112000
1,0.75,-112000
1,0.8,-112000
1,0.78,-112000
1,0.7,-112000
1,0.74,-112000
1,0.68,-112000
1,0.66,-112000
1,0.68,-112000
1,0.79,-112000
1,0.81,-112000
1,0.69,-112000
1,0.8,-112000
1,0.8,-112000
1,0.73,-112000
1,0.69,-112000
1,0.65,-112000
1,0.73,-112000
1,0.7,-112000
1,0.72,-112000
1,0.73,-112000
1,0.61,-112000
1,0.71,-112000
1,0.63,-112000
1,0.76,-112000
1,0.72,-112000
1,0.76,-112000
1,0.71,-112000
1,0.7,-112000
1,0.67,-112000
1,0.77,-112000
1,0.8,-112000
1,0.74,-112000
1,0.77,-112000
1,0.69,-112000
1,0.79,-112000
1,0.75,-112000
1,0.87,-112000
1,0.78,-112000
1,0.75,-112000
1,0.7,-112000
1,0.73,-112000
1,0.69,-112000
1,0.78,-112000
1,0.71,-112000
1,0.81,-112000
1,0.77,-112000
1,0.84,-112000
1,0.83,-112000
1,0.74,-112000
1,0.71,-112000
1,0.74,-112000
1,0.74,-112000
1,0.73,-112000
1,0.78,-112000
1,0.71,-112000
1,0.68,-112000
1,0.82,-112000
1,0.72,-112000
1,0.65,-112000
1,0.69,-112000
1,0.62,-112000
1,0.75,-112000
1,0.75,-112000
1,0.71,-112000
1,0.74,-112000
1,0.68,-112000
1,0.73,-112000
1,0.73,-112000
1,0.77,-112000
1,0.68,-112000
1,0.72,-112000
1,0.74,-112000
1,0.77,-112000
1,0.84,-112000
1,0.76,-112000
1,0.81,-113000
1,0.8,-113000
1,0.75,-113000
1,0.73,-113000
1,0.69,-113000
1,0.77,-113000
1,0.74,-113000
1,0.82,-113000
1,0.74,-113000
1,0.82,-113000
1,0.7,-113000
1,0.77,-113000
1,0.78,-113000
1,0.79,-113000
1,0.77,-113000
1,0.81,-113000
1,0.8,-113000
1,0.8,-113000
1,0.76,-113000
1,0.75,-113000
1,0.77,-113000
1,0.72,-113000
1,0.77,-113000
1,0.77,-113000
1,0.74,-113000
1,0.76,-113000
1,0.81,-113000
1,0.75,-113000
1,0.8,-113000
1,0.78,-113000
1,0.77,-113000
1,0.71,-113000
1,0.74,-113000
1,0.69,-113000
1,0.75,-113000
1,0.78,-113000
1,0.64,-113000
1,0.77,-113000
1,0.77,-113000
1,0.77,-113000
1,0.69,-113000
1,0.66,-113000
1,0.7,-113000
1,0.75,-113000
1,0.77,-113000
1,0.72,-113000
1,0.72,-113000
1,0.75,-113000
1,0.75,-113000
1,0.77,-113000
1,0.7,-113000
1,0.76,-113000
1,0.61,-113000
1,0.78,-113000
1,0.72,-113000
1,0.78,-113000
1,0.71,-113000
1,0.63,-113000
1,0.7,-113000
1,0.71,-113000
1,0.7,-113000
1,0.8,-113000
1,0.75,-113000
1,0.72,-113000
1,0.74,-113000
1,0.77,-113000
1,0.72,-113000
1,0.69,-113000
1,0.7,-113000
1,0.78,-113000
1,0.72,-113000
1,0.75,-113000
1,0.73,-113000
1,0.82,-113000
1,0.71,-113000
1,0.79,-113000
1,0.81,-113000
1,0.83,-113000
1,0.77,-113000
1,0.79,-113000
1,0.74,-113000
1,0.74,-113000
1,0.76,-113000
1,0.79,-113000
1,0.78,-113000
1,0.73,-113000
1,0.8,-113000
1,0.72,-113000
1,0.81,-113000
1,0.69,-113000
1,0.72,-113000
1,0.74,-113000
1,0.7,-113000
1,0.69,-113000
1,0.72,-113000
1,0.71,-113000
1,0.75,-113000
1,0.76,-113000
