100,0.24,0.04,0.12,0,0.36,0.28,0.12,0.08,0.2,0.12
200,0.06,0.12,0.06,0.3,0.06,0.18,0.06,0.02,0.04,0
300,0.0533333,0.0666667,0.0133333,0.0933333,0.173333,0.0133333,0.173333,0.16,0.0666667,0.0133333
400,0.06,0.06,0.06,0.15,0.01,0.07,0.11,0.1,0.1,0.03
500,0.072,0.056,0.072,0.04,0.056,0.032,0.136,0.024,0.008,0.032
600,0.08,0.0733333,0.0133333,0.0466667,0.166667,0.0266667,0.0733333,0.106667,0,0
700,0.0457143,0.0457143,0.102857,0.0857143,0.0971429,0.0342857,0.0285714,0.04,0.0514286,0.04
800,0.06,0.035,0.15,0.05,0.1,0.005,0.04,0.06,0,0.04
900,0.00444444,0.0222222,0,0.00444444,0.0488889,0.0133333,0.0133333,0,0.00444444,0.0133333
1000,0.068,0.064,0.06,0.032,0.076,0.02,0.016,0.076,0.004,0.016
1100,0.00363636,0.0109091,0.0327273,0.0581818,0.00727273,0.0436364,0.0654545,0.0472727,0.0509091,0.0145455
1200,0.03,0.0766667,0.0533333,0.03,0.00666667,0.0733333,0.09,0.0633333,0.07,0.0733333
1300,0.104615,0.0338462,0.00923077,0.0246154,0.0584615,0.00923077,0.0153846,0.0615385,0.0369231,0.04
1400,0.0457143,0.0428571,0.00571429,0.0228571,0.0571429,0.0142857,0.0228571,0.06,0.0171429,0.02
1500,0.008,0.0346667,0.0426667,0.048,0.0213333,0.109333,0.024,0.0293333,0.008,0.0826667
1600,0.0275,0.0025,0.0275,0,0.055,0.005,0.0025,0.09,0.0325,0.0225
1700,0.00941176,0.0282353,0.0164706,0.0517647,0.0423529,0.00235294,0.00470588,0.0352941,0.00470588,0.0423529
1800,0.0755556,0.00222222,0.0355556,0.0111111,0.00888889,0.0177778,0.0355556,0.0711111,0.00888889,0.06
1900,0.0610526,0.0210526,0.00631579,0.0378947,0.0610526,0.00210526,0.0252632,0.0568421,0.0442105,0.00421053
2000,0.044,0.048,0.018,0.002,0.014,0.06,0.026,0.016,0.016,0.006
2100,0.0438095,0.0247619,0.0247619,0.0247619,0.0361905,0.0990476,0.0380952,0.0114286,0.00190476,0.00761905
2200,0.0709091,0.0454545,0.0327273,0.0345455,0.0672727,0.0654545,0.00909091,0.0545455,0.0418182,0.0345455
2300,0.0573913,0.0504348,0.0886957,0.0226087,0.0208696,0.066087,0.0469565,0.0556522,0.0434783,0.00173913
2400,0.005,0.08,0.0633333,0.015,0.0666667,0.0533333,0.005,0.055,0.07,0.0366667
2500,0.0336,0.0032,0.0064,0.0304,0,0.0304,0.0096,0.0304,0,0.0624
2600,0.00923077,0.0661538,0.0476923,0.0261538,0.0323077,0.0153846,0.00153846,0.0323077,0.06,0.0138462
2700,0.0148148,0.0266667,0.04,0.0207407,0.0488889,0.0266667,0.0459259,0.0237037,0.0325926,0.0325926
2800,0.0457143,0.0257143,0.0271429,0.00714286,0.0457143,0.00428571,0.0385714,0.03,0.0728571,0.0271429
2900,0.0206897,0.0427586,0.00827586,0.0165517,0.04,0.0165517,0.0827586,0.0427586,0.0193103,0.0303448
3000,0,0.012,0.00133333,0.004,0.00533333,0.00533333,0.0506667,0.00133333,0.00533333,0.068
3100,0.0129032,0.00645161,0.0425806,0.0206452,0.00387097,0.00129032,0.0154839,0.043871,0.0167742,0.0219355
