realization,acc_ratio,energy
1,0.92,-100000
1,0.93,-100000
1,0.88,-100000
1,0.9,-100000
1,0.87,-100000
1,0.89,-100000
1,0.94,-100000
1,0.93,-100000
1,0.86,-100000
1,0.86,-100000
1,0.89,-100000
1,0.9,-100000
1,0.94,-100000
1,0.92,-100000
1,0.92,-100000
1,0.89,-100000
1,0.87,-100000
1,0.93,-100000
1,0.92,-100000
1,0.91,-100000
1,0.91,-100000
1,0.92,-100000
1,0.93,-100000
1,0.95,-100000
1,0.89,-100000
1,0.86,-100000
1,0.9,-100000
1,0.95,-100000
1,0.91,-100000
1,0.9,-100000
1,0.95,-100000
1,0.86,-100000
1,0.91,-100000
1,0.91,-100000
1,0.89,-100000
1,0.92,-100000
1,0.9,-100000
1,0.93,-100000
1,0.88,-100000
1,0.91,-100000
1,0.94,-100000
1,0.94,-100000
1,0.94,-100000
1,0.9,-100000
1,0.86,-100000
1,0.93,-100000
1,0.92,-100000
1,0.95,-100000
1,0.93,-100000
1,0.87,-100000
1,0.94,-100000
1,0.87,-100000
1,0.9,-100000
1,0.9,-100000
1,0.96,-100000
1,0.94,-100000
1,0.9,-100000
1,0.88,-100000
1,0.81,-100000
1,0.82,-100000
1,0.85,-100000
1,0.88,-100000
1,0.91,-100000
1,0.96,-100000
1,0.88,-100000
1,0.89,-100000
1,0.9,-100000
1,0.86,-100000
1,0.89,-100000
1,0.83,-100000
1,0.85,-100000
1,0.85,-100000
1,0.9,-100000
1,0.92,-100000
1,0.93,-100000
1,0.87,-100000
1,0.95,-100000
1,0.92,-100000
1,0.9,-100000
1,0.89,-100000
1,0.86,-100000
1,0.87,-100000
1,0.95,-100000
1,0.89,-100000
1,0.92,-100000
1,0.88,-100000
1,0.89,-100000
1,0.93,-100000
1,0.89,-100000
1,0.91,-100000
1,0.91,-100000
1,0.92,-100000
1,0.9,-100000
1,0.95,-100000
1,0.93,-100000
1,0.85,-100000
1,0.96,-100000
1,0.87,-101000
1,0.94,-101000
1,0.92,-101000
1,0.89,-101000
1,0.92,-101000
1,0.93,-101000
1,0.9,-101000
1,0.94,-101000
1,0.94,-101000
1,0.95,-101000
1,0.97,-101000
1,0.95,-101000
1,0.95,-101000
1,0.95,-101000
1,0.91,-101000
1,0.88,-101000
1,0.91,-101000
1,0.86,-101000
1,0.92,-101000
1,0.89,-101000
1,0.93,-101000
1,0.93,-101000
1,0.93,-101000
1,0.9,-101000
1,0.94,-101000
1,0.9,-101000
1,0.93,-101000
1,0.94,-101000
1,0.92,-101000
1,0.96,-101000
1,0.94,-101000
1,0.96,-101000
1,0.98,-101000
1,0.92,-101000
1,0.94,-101000
1,0.93,-101000
1,0.91,-101000
1,0.94,-101000
1,0.95,-101000
1,0.87,-101000
1,0.92,-101000
1,0.88,-101000
1,0.88,-101000
1,0.91,-101000
1,0.92,-101000
1,0.85,-101000
1,0.89,-101000
1,0.87,-101000
1,0.9,-101000
1,0.95,-101000
1,0.91,-101000
1,0.84,-101000
1,0.91,-101000
1,0.93,-101000
1,0.95,-101000
1,0.93,-101000
1,0.92,-101000
1,0.95,-101000
1,0.91,-101000
1,0.89,-101000
1,0.95,-101000
1,0.89,-101000
1,0.94,-101000
1,0.97,-101000
1,0.9,-101000
1,0.92,-101000
1,0.88,-101000
1,0.97,-101000
1,0.97,-101000
1,0.92,-101000
1,0.94,-101000
1,0.97,-101000
1,0.9,-101000
1,0.85,-101000
1,0.92,-101000
1,0.94,-101000
1,0.93,-101000
