realization,energy,pressure,acc_ratio
1,-139.388,0.837502,0.44
1,-146.464,0.64273,0.41
1,-137.788,0.92335,0.35
1,-135.932,1.04077,0.42
1,-134.426,1.18681,0.39
1,-133.588,1.27036,0.53
1,-130.569,1.46971,0.4
1,-136.638,1.22192,0.34
1,-136.885,1.32852,0.43
1,-132.304,1.38095,0.44
1,-138.649,1.23812,0.36
1,-137.608,1.28597,0.45
1,-126.003,1.58744,0.37
1,-136.549,1.06521,0.43
1,-139.079,1.19396,0.45
1,-133.858,1.17193,0.39
1,-138.218,1.096,0.4
1,-116.772,1.43646,0.39
1,-133.341,1.06708,0.52
1,-127.297,1.15736,0.44
1,-139.913,0.928357,0.51
1,-142.169,0.854951,0.44
1,-144.503,0.924391,0.4
1,-143.164,0.895721,0.35
1,-138.904,1.02108,0.36
1,-129.876,1.27742,0.47
1,-127.128,1.22616,0.45
1,-131.571,1.17836,0.39
1,-143.739,0.86694,0.31
1,-136.57,1.0166,0.4
1,-136.403,0.988257,0.3
1,-126.972,1.22449,0.42
1,-124.802,1.33952,0.36
1,-140.07,0.921271,0.44
1,-121.043,1.63032,0.49
1,-129.361,1.47457,0.4
1,-142.491,1.15202,0.42
1,-151.864,0.690384,0.39
1,-143.34,0.846073,0.52
1,-147.188,0.788737,0.33
1,-153.677,0.517929,0.33
1,-137.419,1.09328,0.36
1,-130.346,1.24645,0.36
1,-129.927,1.28193,0.43
1,-127.779,1.4636,0.41
1,-121.864,1.60633,0.35
1,-132.252,1.23753,0.39
1,-138.608,1.05515,0.36
1,-135.014,1.10881,0.36
1,-119.714,1.52822,0.51
1,-123.145,1.368,0.46
1,-133.475,1.2096,0.5
1,-130.282,1.25431,0.5
1,-133.114,1.19027,0.45
1,-138.844,1.12925,0.42
1,-134.719,1.3635,0.41
1,-136.859,1.21945,0.45
1,-134.479,1.25666,0.24
1,-134.939,1.22182,0.52
1,-133.417,1.17125,0.42
1,-133.469,1.08655,0.32
1,-138.307,0.954941,0.45
1,-144.254,0.673903,0.38
1,-137.138,0.935962,0.43
1,-151.869,0.601065,0.49
1,-143.707,0.906858,0.51
1,-134.181,1.15154,0.42
1,-142.352,1.01056,0.39
1,-124.358,1.51881,0.45
1,-111.301,1.86037,0.43
1,-102.129,1.99462,0.34
1,-126.152,1.35188,0.49
1,-129.055,1.2549,0.37
1,-125.376,1.49321,0.36
1,-133.594,1.295,0.41
1,-128.029,1.38801,0.37
1,-125.713,1.36508,0.39
1,-132.445,1.04271,0.44
1,-140.315,0.913517,0.32
1,-144.081,0.890379,0.42
1,-131.743,1.0912,0.37
1,-141.49,0.750649,0.38
1,-135.361,0.972881,0.42
1,-130.583,1.13541,0.46
1,-129.114,1.11518,0.44
1,-121.038,1.35811,0.39
1,-128.144,0.945301,0.47
1,-115.718,1.33021,0.36
1,-122.188,1.2577,0.42
1,-131.901,0.918891,0.44
1,-135.464,0.817898,0.53
1,-130.66,0.827777,0.43
1,-118.943,1.22075,0.42
1,-137.139,0.767965,0.43
1,-123.613,1.2318,0.44
1,-135.547,0.942502,0.48
1,-137.907,0.814878,0.42
1,-137.281,0.853241,0.42
1,-141.088,0.79553,0.49
1,-137.834,0.91453,0.37
1,-153.313,0.555843,0.41
1,-154.354,0.561088,0.51
1,-152.348,0.572189,0.4
1,-153.157,0.522512,0.47
1,-130.812,1.10759,0.51
1,-134.649,0.933855,0.37
1,-136.277,0.989929,0.38
1,-119.027,1.42793,0.46
1,-103.58,1.82075,0.35
1,-125.114,1.33312,0.32
1,-138.58,1.04258,0.39
1,-133.475,0.972594,0.36
1,-146.274,0.571528,0.42
1,-148.961,0.519347,0.41
1,-138.779,0.787195,0.46
1,-128.933,0.953294,0.48
1,-130.503,1.04181,0.48
1,-129.302,1.0206,0.46
1,-118.114,1.34602,0.49
1,-117.629,1.35969,0.43
1,-127.24,1.16689,0.46
1,-133.227,0.905671,0.41
1,-135.144,0.786877,0.34
1,-135.277,0.805038,0.44
1,-132.777,0.920764,0.41
1,-125.349,1.19751,0.39
1,-126.558,1.27773,0.36
1,-124.469,1.28602,0.39
1,-122.64,1.40247,0.33
1,-126.848,1.2979,0.42
1,-126.355,1.28813,0.35
1,-126.12,1.29998,0.34
1,-129.823,1.20263,0.33
1,-124.104,1.39276,0.34
1,-125.033,1.44809,0.34
1,-120.496,1.47886,0.36
1,-120.184,1.37222,0.44
1,-128.002,0.897962,0.39
1,-142.175,0.653658,0.5
1,-143.019,0.739009,0.42
1,-144.011,0.691586,0.42
1,-141.205,0.760671,0.36
1,-129.249,1.20925,0.4
1,-128.832,1.12983,0.4
1,-126.304,1.22991,0.4
1,-108.248,1.69984,0.4
1,-118.664,1.32821,0.42
1,-125.191,1.14422,0.46
1,-139.259,0.704278,0.48
1,-134.095,0.933839,0.41
1,-126.633,1.0382,0.43
1,-118.099,1.28135,0.45
1,-125.326,1.41192,0.49
1,-123.774,1.40358,0.38
1,-117.446,1.71457,0.45
1,-123.27,1.73876,0.31
1,-131.057,1.4654,0.41
1,-131.769,1.38646,0.4
1,-135.792,1.11713,0.43
1,-138.922,1.12994,0.36
1,-144.918,1.11958,0.54
1,-146.444,0.893609,0.43
1,-147.659,0.813832,0.35
1,-138.744,1.05273,0.42
1,-152.685,0.609496,0.52
1,-146.439,0.778199,0.41
1,-134.183,1.12103,0.4
1,-138.066,1.03221,0.44
1,-139.77,1.00456,0.37
1,-140.195,1.04208,0.42
1,-149.125,0.588954,0.4
1,-136.587,1.0329,0.35
1,-128.935,1.18488,0.45
1,-127.601,1.3051,0.44
1,-132.829,1.07251,0.44
1,-137.433,1.08639,0.44
1,-146.582,0.792197,0.39
1,-150.595,0.779467,0.4
1,-143.856,0.982676,0.46
1,-142.578,1.04966,0.41
1,-145.277,1.0587,0.45
1,-144.95,0.991828,0.34
1,-153.041,0.892445,0.41
1,-143.087,1.11316,0.39
1,-135.028,1.51063,0.4
1,-130.199,1.60635,0.35
1,-130.153,1.63687,0.34
1,-127.131,1.64679,0.39
1,-128.185,1.72948,0.52
1,-148.225,1.14425,0.39
1,-133.447,1.34657,0.42
1,-149.698,0.90777,0.41
1,-145.832,0.838587,0.46
1,-127.477,1.29734,0.49
1,-151.417,0.700701,0.35
1,-137.449,1.26303,0.49
1,-139.159,1.1371,0.41
1,-123.79,1.63255,0.39
1,-132.877,1.28546,0.42
1,-143.868,0.944116,0.48
1,-142.013,0.935634,0.44
1,-129.394,1.31233,0.41
1,-127.185,1.30039,0.38
1,-114.748,1.53595,0.35
1,-123.048,1.29853,0.53
1,-143.122,0.813853,0.4
1,-151.279,0.608705,0.44
1,-147.409,0.750781,0.39
1,-149.707,0.768178,0.34
1,-151.118,0.679005,0.44
1,-141.596,0.80657,0.43
1,-132.417,1.18452,0.41
1,-144.392,0.88702,0.45
1,-146.111,0.764704,0.39
1,-135.161,1.04405,0.37
1,-145.802,1.03814,0.45
1,-141.501,1.32951,0.39
1,-137.629,1.35539,0.39
1,-141.996,1.16412,0.43
1,-135.154,1.43496,0.36
1,-160.413,0.921002,0.4
1,-140.169,1.18234,0.38
1,-139.84,1.05502,0.38
1,-139.809,0.975512,0.44
1,-137.734,1.03887,0.29
1,-139.799,1.02014,0.46
1,-150.488,0.644406,0.36
1,-143.154,0.970476,0.39
1,-138.531,1.0697,0.38
1,-124.299,1.34797,0.46
1,-135.698,1.13158,0.41
1,-130.234,1.33049,0.4
1,-125.266,1.37213,0.47
1,-140.393,0.968367,0.4
1,-119.537,1.58347,0.48
1,-132.554,1.40192,0.38
1,-132.38,1.17615,0.5
1,-139.288,0.882149,0.43
1,-147.438,0.631813,0.36
1,-138.327,0.89372,0.53
1,-152.031,0.521359,0.39
1,-150.953,0.547097,0.36
1,-132.548,1.06233,0.3
1,-149.551,0.68112,0.4
