realization,energy,pressure,acc_ratio
1,-245.434519,6.151211,0.060000
1,-249.133002,5.720009,0.120000
1,-250.220189,5.344774,0.180000
1,-249.960205,5.106515,0.090000
1,-256.580903,4.587342,0.160000
1,-239.966423,4.585194,0.220000
1,-252.333159,3.837767,0.260000
1,-248.496427,3.730921,0.160000
1,-268.864925,3.038519,0.340000
1,-269.771509,2.789653,0.280000
1,-269.399534,2.547688,0.370000
1,-259.311246,2.551052,0.310000
1,-256.385212,2.459937,0.460000
1,-250.835948,2.532464,0.390000
1,-260.103699,2.176034,0.340000
1,-268.987210,1.767779,0.410000
1,-274.256141,1.695962,0.350000
1,-287.343928,1.277834,0.480000
1,-304.488868,0.794094,0.510000
1,-287.133068,1.025145,0.380000
1,-291.744071,0.874879,0.390000
1,-298.858864,0.664420,0.420000
1,-299.258797,0.600827,0.510000
1,-295.671313,0.709036,0.530000
1,-281.101486,0.929193,0.410000
1,-275.966172,1.117920,0.470000
1,-280.921613,1.064726,0.440000
1,-278.637590,1.012828,0.380000
1,-280.634492,0.819046,0.420000
1,-279.134164,0.898056,0.380000
1,-280.662636,0.718298,0.460000
1,-276.702450,0.709577,0.460000
1,-275.948080,0.714283,0.510000
1,-266.746707,0.895108,0.460000
1,-266.180655,0.853848,0.470000
1,-258.214930,0.950353,0.350000
1,-254.597988,1.080908,0.510000
1,-260.995777,0.828507,0.470000
1,-251.321570,1.038055,0.570000
1,-253.114169,0.936326,0.440000
1,-253.769036,0.949885,0.430000
1,-256.751534,0.894326,0.410000
1,-250.298164,0.926463,0.570000
1,-255.075052,0.932211,0.500000
1,-261.556150,0.829037,0.530000
1,-268.594580,0.541840,0.580000
1,-265.996448,0.752666,0.550000
1,-267.597404,0.695225,0.510000
1,-269.980188,0.594126,0.530000
1,-272.583873,0.490266,0.550000
1,-273.568948,0.498785,0.550000
1,-263.532662,0.767539,0.480000
1,-273.330429,0.550181,0.430000
1,-272.240541,0.606958,0.400000
1,-275.767856,0.623942,0.470000
1,-272.024454,0.816208,0.430000
1,-269.100986,0.737515,0.440000
1,-267.177845,0.824544,0.440000
1,-263.551031,0.854860,0.410000
1,-255.254355,0.926928,0.520000
1,-247.233558,0.994300,0.600000
1,-240.933634,1.106332,0.390000
1,-247.978704,0.929229,0.380000
1,-254.363682,0.719802,0.570000
1,-250.349787,0.668584,0.570000
1,-260.165263,0.433742,0.580000
1,-247.799997,0.791125,0.410000
1,-246.583103,0.847540,0.500000
1,-256.520327,0.563151,0.540000
1,-261.314057,0.363513,0.490000
1,-258.245039,0.432319,0.550000
1,-258.468164,0.446980,0.570000
1,-252.201081,0.491622,0.530000
1,-239.100773,0.654401,0.570000
1,-235.975378,0.802369,0.520000
1,-240.931639,0.768588,0.530000
1,-240.298777,0.852278,0.570000
1,-235.524384,0.881961,0.540000
1,-240.135769,0.789232,0.560000
1,-234.274173,1.068797,0.550000
1,-226.411517,1.185724,0.520000
1,-228.821289,1.176315,0.500000
1,-237.706014,1.076031,0.500000
1,-242.929045,0.851213,0.460000
1,-250.915376,0.782370,0.510000
1,-250.854253,0.756365,0.410000
1,-241.608183,0.883654,0.420000
1,-255.616729,0.589636,0.580000
1,-244.561376,0.635799,0.550000
1,-253.523556,0.426165,0.490000
1,-256.640194,0.398155,0.560000
1,-255.386967,0.404886,0.590000
1,-253.109375,0.434470,0.500000
1,-255.191678,0.348120,0.670000
1,-244.391632,0.681272,0.580000
1,-250.604006,0.470960,0.580000
1,-254.215576,0.404314,0.560000
1,-253.753840,0.398595,0.510000
1,-256.271800,0.305735,0.530000
1,-248.198024,0.518326,0.570000
1,-248.189660,0.486513,0.630000
1,-241.730101,0.812954,0.590000
1,-241.613198,0.757858,0.540000
1,-239.166523,0.831439,0.590000
1,-244.890783,0.740422,0.410000
1,-238.971747,0.797808,0.480000
1,-242.033785,0.714414,0.520000
1,-236.396323,0.752122,0.550000
1,-246.826785,0.593550,0.490000
1,-245.713893,0.768201,0.560000
1,-249.431077,0.544915,0.590000
1,-240.918998,0.722798,0.590000
1,-238.901334,0.944426,0.520000
1,-250.489888,0.694576,0.530000
1,-227.259392,1.004838,0.480000
1,-234.838791,0.901820,0.500000
1,-255.405615,0.351293,0.580000
1,-255.563236,0.179755,0.620000
1,-253.257862,0.231748,0.560000
1,-247.506262,0.529049,0.560000
1,-250.508184,0.528225,0.530000
1,-245.647033,0.636251,0.570000
1,-252.376480,0.424126,0.510000
1,-251.650188,0.351661,0.540000
1,-242.849802,0.526972,0.450000
1,-247.490026,0.542903,0.580000
1,-249.432558,0.507248,0.630000
1,-249.081573,0.529929,0.490000
1,-233.477200,0.985337,0.470000
1,-253.718977,0.495470,0.510000
1,-257.906454,0.352166,0.480000
1,-254.426330,0.411158,0.480000
1,-253.174082,0.392450,0.550000
1,-255.015902,0.342111,0.590000
1,-265.189897,0.208978,0.580000
1,-255.550175,0.289677,0.510000
1,-259.293521,0.282323,0.610000
1,-251.279268,0.486862,0.600000
1,-262.180690,-0.037518,0.610000
1,-249.975509,0.258066,0.690000
1,-249.414943,0.250852,0.560000
1,-250.657755,0.328198,0.570000
1,-247.303630,0.375643,0.590000
1,-257.533093,0.036334,0.560000
1,-251.046718,0.337891,0.520000
1,-247.960618,0.484832,0.600000
1,-246.118376,0.619730,0.520000
1,-238.822753,0.706291,0.510000
1,-241.753436,0.707534,0.530000
1,-237.582351,0.742238,0.520000
1,-245.628153,0.563209,0.590000
1,-258.094468,0.287327,0.560000
1,-247.937966,0.700783,0.540000
1,-245.119861,1.025393,0.630000
1,-252.529654,0.755060,0.450000
1,-239.850316,1.045817,0.520000
1,-244.694208,0.847810,0.390000
1,-249.511778,0.658555,0.550000
1,-255.798138,0.722534,0.520000
1,-258.709329,0.552744,0.570000
1,-250.082318,0.825316,0.420000
1,-256.698445,0.564123,0.440000
1,-257.649651,0.637450,0.450000
1,-262.112936,0.451437,0.480000
1,-256.266539,0.664276,0.480000
1,-266.236906,0.475341,0.510000
1,-268.081244,0.438507,0.450000
1,-261.607359,0.475876,0.530000
1,-262.700733,0.454177,0.500000
1,-256.349513,0.525632,0.480000
1,-258.135820,0.411427,0.590000
1,-260.385087,0.381905,0.570000
1,-249.137968,0.738244,0.550000
1,-256.986189,0.382607,0.530000
1,-244.367289,0.585752,0.610000
1,-245.803020,0.659232,0.490000
1,-241.199565,0.839886,0.510000
1,-229.306626,1.173882,0.410000
1,-247.107367,0.757976,0.460000
1,-249.868536,0.430211,0.560000
1,-254.752994,0.183561,0.530000
1,-248.977474,0.465406,0.520000
1,-250.096089,0.564326,0.480000
1,-258.127619,0.242128,0.500000
1,-241.178238,0.616858,0.580000
1,-243.322997,0.629374,0.530000
1,-250.199192,0.550413,0.530000
1,-247.115874,0.669418,0.560000
1,-240.270890,0.834477,0.440000
1,-237.326666,0.910381,0.530000
1,-243.937802,0.726267,0.510000
1,-237.737496,0.646449,0.520000
1,-236.383069,0.631849,0.550000
1,-234.765488,0.756937,0.580000
1,-232.955109,0.834018,0.560000
1,-230.068855,0.937516,0.510000
1,-235.479625,0.770361,0.530000
1,-229.294860,0.870044,0.520000
1,-247.377384,0.533337,0.500000
1,-250.737852,0.565490,0.460000
1,-245.437623,0.696132,0.390000
1,-239.320894,0.845917,0.570000
1,-233.619801,0.894761,0.490000
1,-241.322893,0.633871,0.580000
1,-249.206843,0.568256,0.480000
1,-232.030960,0.995404,0.470000
1,-229.619080,1.114744,0.460000
1,-230.157872,1.042834,0.460000
1,-237.527703,0.976901,0.480000
1,-239.096976,0.978320,0.560000
1,-224.593803,1.292830,0.530000
1,-227.908480,1.317019,0.580000
1,-239.784250,1.041174,0.510000
1,-244.583608,0.632597,0.510000
1,-243.959680,0.682750,0.470000
1,-255.430458,0.571080,0.600000
1,-238.343876,0.924070,0.450000
