realization,energy,pressure,acc_ratio
1,-275.189518,8.731609,0.030000
1,-282.079389,8.179686,0.090000
1,-287.050415,7.591042,0.130000
1,-287.378932,7.405839,0.080000
1,-288.214936,6.970315,0.120000
1,-284.104394,6.699828,0.130000
1,-291.013671,6.418592,0.200000
1,-306.404203,5.712253,0.210000
1,-303.332914,5.644983,0.160000
1,-309.693933,5.070769,0.210000
1,-311.596010,5.099227,0.200000
1,-321.260371,4.583540,0.140000
1,-312.944978,4.737912,0.220000
1,-314.125219,4.599368,0.300000
1,-309.583632,4.577876,0.260000
1,-320.106791,3.919531,0.320000
1,-331.423088,3.515116,0.240000
1,-331.081030,3.385591,0.270000
1,-344.886694,3.021263,0.230000
1,-341.721992,3.157594,0.300000
1,-353.545199,2.703615,0.350000
1,-347.543113,2.688428,0.300000
1,-348.273623,2.614885,0.410000
1,-352.363138,2.398075,0.220000
1,-365.422910,1.973642,0.340000
1,-368.347772,1.865124,0.300000
1,-361.751451,2.103579,0.320000
1,-355.081997,2.151591,0.240000
1,-349.315407,2.267921,0.300000
1,-365.797536,1.583507,0.260000
1,-349.419762,2.071848,0.330000
1,-353.758862,1.868691,0.340000
1,-355.201347,1.981956,0.310000
1,-358.497966,1.871098,0.300000
1,-366.678790,1.669867,0.400000
1,-353.291364,2.097603,0.230000
1,-346.572222,2.138728,0.360000
1,-352.644966,1.955353,0.390000
1,-361.535697,1.648983,0.260000
1,-355.306734,1.785634,0.320000
1,-345.567912,2.123414,0.330000
1,-349.812335,1.864797,0.410000
1,-345.006117,1.884614,0.280000
1,-345.316643,1.738019,0.430000
1,-340.064580,1.853529,0.400000
1,-362.459358,1.139403,0.410000
1,-357.505829,1.429402,0.420000
1,-362.349722,1.302901,0.440000
1,-353.194384,1.568425,0.340000
1,-358.359875,1.380278,0.360000
1,-359.946147,1.362413,0.350000
1,-357.016823,1.387276,0.320000
1,-361.952300,1.257587,0.500000
1,-370.699002,0.966774,0.310000
1,-361.813364,1.172874,0.360000
1,-367.827886,0.947340,0.370000
1,-358.556565,1.147288,0.360000
1,-357.870135,1.193103,0.360000
1,-373.444817,0.611717,0.400000
1,-366.791893,0.816317,0.360000
1,-361.286345,0.954406,0.350000
1,-366.282735,0.768875,0.310000
1,-365.889354,0.765816,0.360000
1,-369.951088,0.548675,0.340000
1,-371.178446,0.489375,0.370000
1,-359.392450,0.890147,0.410000
1,-351.700843,1.210903,0.370000
1,-346.687719,1.261619,0.410000
1,-335.414967,1.687324,0.300000
1,-352.727452,1.324244,0.460000
1,-348.285870,1.491271,0.360000
1,-344.178700,1.711609,0.330000
1,-349.087574,1.613888,0.320000
1,-349.312041,1.760318,0.420000
1,-352.439812,1.724509,0.310000
1,-356.136662,1.444183,0.310000
1,-356.347423,1.364785,0.310000
1,-360.762311,1.274089,0.270000
1,-355.350474,1.465427,0.310000
1,-352.417297,1.432647,0.320000
1,-353.582615,1.373148,0.260000
1,-360.744976,1.111773,0.430000
1,-370.077423,0.841602,0.300000
1,-337.292658,1.947448,0.390000
1,-342.951702,1.760909,0.360000
1,-343.124383,1.687287,0.460000
1,-336.830117,1.729298,0.370000
1,-332.955713,1.926863,0.460000
1,-339.428374,1.867754,0.350000
1,-352.867249,1.411910,0.440000
1,-361.226554,1.056988,0.390000
1,-340.054606,1.698556,0.340000
1,-335.345018,1.874711,0.330000
1,-332.341766,1.925816,0.330000
1,-335.629133,1.910446,0.380000
