time,X,Y
0.000000,500,2500
0.000208,499,2500
0.000891,500,2499
0.001169,501,2498
0.001173,500,2499
0.001225,501,2499
0.001382,502,2499
0.001603,503,2499
0.001687,502,2499
0.001799,503,2498
0.001822,502,2499
0.001993,501,2500
0.002133,500,2501
0.002159,499,2502
0.002692,498,2503
0.002874,499,2503
0.002882,500,2503
0.002950,499,2504
0.003139,500,2504
0.003155,501,2503
0.003633,502,2503
0.003701,503,2503
0.003730,504,2503
0.003902,503,2504
0.003984,502,2505
0.004259,503,2505
0.004467,504,2505
0.004505,505,2505
0.004611,506,2504
0.004961,505,2505
0.005123,506,2505
0.005231,507,2505
0.005249,508,2505
0.005497,507,2506
0.005604,506,2507
0.006247,507,2506
0.006387,508,2505
0.006419,509,2505
0.006426,508,2506
0.006454,509,2506
0.006817,510,2506
0.007120,511,2506
0.007247,512,2506
0.007397,511,2507
0.007549,512,2507
0.007601,511,2508
0.007740,510,2509
0.007895,509,2510
0.008002,508,2511
0.008016,507,2512
0.008165,508,2512
0.008188,507,2513
0.008300,506,2513
0.008436,507,2512
0.008577,506,2513
0.008705,507,2512
0.008880,506,2513
0.008937,505,2513
0.009155,506,2513
0.009235,507,2513
0.009644,506,2513
0.009741,507,2513
0.010231,508,2512
0.010236,507,2513
0.010241,508,2512
0.010480,507,2513
0.010486,506,2514
0.010554,505,2515
0.010714,506,2515
0.010752,505,2516
0.011264,504,2517
0.011358,503,2517
0.011747,502,2518
0.011919,503,2517
0.012054,502,2518
0.012258,503,2518
0.012379,504,2518
0.012635,505,2518
0.012649,504,2518
0.013142,503,2518
0.013399,502,2518
0.013406,501,2519
0.013440,500,2519
0.013642,499,2519
0.013751,498,2519
0.014455,499,2519
0.014463,498,2520
0.014871,499,2520
0.015192,500,2520
0.015284,499,2521
0.015314,500,2520
0.015368,501,2520
0.015621,500,2521
0.015671,501,2520
0.015776,500,2521
0.015781,499,2522
0.015939,498,2523
0.016034,499,2522
0.016341,500,2522
0.016374,501,2521
0.016521,500,2522
0.016716,499,2523
0.016831,500,2523
0.017042,501,2523
0.017044,502,2523
0.017171,503,2522
0.017172,502,2523
0.017175,501,2523
0.017390,500,2524
0.017586,501,2524
0.017716,502,2524
0.018111,503,2524
0.018115,504,2523
0.018127,503,2524
0.018158,504,2524
0.018368,505,2524
0.018586,506,2524
0.018626,505,2524
0.018769,504,2525
0.018770,503,2526
0.018834,502,2527
0.019336,503,2527
0.019527,504,2527
0.019736,503,2528
0.019850,504,2527
0.019966,505,2527
0.020044,504,2528
0.020055,503,2529
0.020224,502,2530
0.020440,501,2531
0.020444,500,2532
0.020450,499,2533
0.020714,498,2534
0.020851,499,2533
0.021327,500,2533
0.021634,499,2534
0.021673,498,2535
0.022055,497,2536
0.022339,498,2536
0.022339,497,2537
0.022562,496,2538
0.022705,495,2539
0.023029,494,2540
0.023178,495,2539
0.023237,496,2539
0.023325,495,2540
0.023824,496,2540
0.023922,495,2541
0.023937,496,2541
0.024268,495,2542
0.024407,496,2541
0.024917,497,2541
0.024957,496,2542
0.025184,497,2542
0.025424,496,2542
0.025898,495,2543
0.026588,494,2543
0.026758,493,2544
0.027063,494,2544
0.027120,493,2544
0.027662,494,2544
0.027829,493,2545
0.027833,492,2546
0.028147,491,2547
0.028159,490,2547
0.028312,489,2548
0.028587,490,2548
0.028652,491,2548
0.028762,490,2549
0.029082,491,2549
0.029224,492,2548
0.029413,493,2547
0.029549,492,2548
0.029711,493,2548
0.029742,494,2548
0.029757,493,2549
0.029813,494,2549
0.029934,493,2549
0.029948,492,2550
0.030477,491,2551
0.030512,490,2552
0.030694,491,2552
0.030992,492,2552
0.031078,493,2551
0.031102,494,2550
0.031247,493,2551
0.031534,494,2551
0.031630,493,2552
0.031885,492,2553
0.032098,493,2552
0.032181,494,2552
0.032250,493,2553
0.032913,492,2554
0.033191,491,2555
0.033499,490,2556
0.033509,489,2557
0.033602,488,2558
0.033722,487,2559
0.033767,486,2560
0.034095,487,2559
0.034115,486,2560
0.034213,485,2561
0.034310,486,2561
0.034880,485,2561
0.035325,486,2560
0.035757,487,2560
0.035818,486,2561
0.036186,485,2562
0.036237,486,2561
0.036315,485,2562
0.036458,486,2562
0.036788,487,2562
