energy,magnet,clus_size
-670,106,8
-670,108,1
-670,100,4
-668,106,3
-664,104,1
-664,106,1
-670,98,4
-670,100,1
-666,98,1
-662,106,4
-658,108,1
-652,116,4
-638,124,4
-638,122,1
-630,108,7
-626,106,1
-630,112,3
-628,108,2
-630,96,6
-630,94,1
-626,92,1
-620,88,2
-614,82,3
-618,80,1
-626,74,3
-628,78,2
-638,74,2
-638,76,1
-660,82,3
-662,78,2
-662,80,1
-670,78,1
-670,80,1
-670,78,1
-674,80,1
-670,82,1
-660,86,2
-664,88,1
-662,92,2
-670,94,1
-674,96,1
-678,94,1
-684,84,5
-706,94,5
-694,82,6
-694,90,4
-702,92,1
-690,86,3
-692,82,2
-694,70,6
-696,74,2
-696,72,1
-690,78,3
-680,82,2
-694,86,2
-704,70,8
-686,78,4
-700,84,3
-686,90,3
-676,80,5
-672,90,5
-680,92,1
-680,94,1
-690,88,3
-704,92,2
-690,76,8
-694,78,1
-716,84,3
-706,94,5
-710,84,5
-714,90,3
-710,92,1
-710,94,1
-714,96,1
-722,108,6
-730,110,1
-738,102,4
-736,106,2
-738,92,7
-738,94,1
-734,92,1
-734,102,5
-728,98,2
-724,100,1
-720,102,1
-720,104,1
-706,98,3
-702,100,1
-706,98,1
-696,90,4
-690,94,2
-694,92,1
-698,94,1
-690,82,6
-702,92,5
-714,100,4
-708,96,2
-708,94,1
-702,98,2
-692,102,2
-702,98,2
-698,92,3
-720,102,5
-726,106,2
-738,116,5
-740,128,6
-744,126,1
-748,128,1
-756,126,1
-760,132,3
-774,128,2
-776,124,2
-772,126,1
-780,124,1
-780,122,1
-798,126,2
-794,128,1
-794,130,1
-802,128,1
-812,132,2
-814,124,4
-804,120,2
-804,122,1
-796,124,1
-800,122,1
-804,116,3
-808,118,1
-808,120,1
-826,116,2
-826,118,1
-808,124,3
-808,122,1
-812,124,1
-812,122,1
-812,116,3
-796,106,5
-798,110,2
-802,108,1
-794,84,12
-794,82,1
-784,86,2
-786,96,5
-784,100,2
-780,94,3
-784,92,1
-806,102,5
-808,106,2
-810,102,2
-814,100,1
-806,98,1
-810,100,1
-814,102,1
-812,96,3
-820,94,1
-822,90,2
-826,88,1
-824,94,3
-832,110,8
-854,122,6
-858,124,1
-866,126,1
-864,116,5
-882,120,2
-882,122,1
-888,126,2
-884,134,4
-866,144,5
-862,142,1
-866,130,6
-866,128,1
-872,118,5
-848,108,5
-852,110,1
-856,112,1
-860,114,1
-854,104,5
-860,110,3
-856,112,1
-862,108,2
-880,116,4
-880,118,1
-870,114,2
-874,112,1
-888,116,2
-884,118,1
-888,116,1
-892,114,1
-900,116,1
-896,114,1
-882,118,2
-872,122,2
-866,112,5
-868,118,3
-878,114,2
-866,100,7
-860,104,2
-862,100,2
-860,116,8
-852,114,1
-850,110,2
-846,108,1
-850,106,1
-848,82,12
-844,74,4
-864,58,8
-850,62,2
-858,60,1
-854,58,1
-854,60,1
-860,52,4
-878,108,28
-890,116,4
-902,126,5
-902,128,1
-898,118,5
-908,134,8
-910,124,5
-908,130,3
-908,132,1
-908,130,1
-916,132,1
-920,130,1
-926,120,5
-932,124,2
-932,126,1
-928,128,1
-932,130,1
-932,132,1
-936,114,9
-940,116,1
-954,108,4
-950,110,1
-950,108,1
-944,102,3
-958,98,2
-962,96,1
-954,98,1
-950,100,1
-950,98,1
-954,100,1
-972,96,2
-976,94,1
-976,92,1
-982,88,2
-978,82,3
-960,86,2
-952,92,3
-944,94,1
-934,98,2
-942,100,1
-972,88,6
-978,102,7
-980,98,2
-988,96,1
-990,88,4
-994,90,1
-992,100,5
-988,98,1
-980,100,1
-962,92,4
-966,90,1
-970,92,1
-978,120,14
-982,118,1
-976,126,4
-974,132,3
-972,142,5
-968,144,1
-968,142,1
-982,146,2
-972,142,2
-982,146,2
-986,148,1
-986,150,1
-986,134,8
-982,126,4
-978,128,1
-976,134,3
-962,118,8
-964,98,10
-964,96,1
-960,94,1
-958,104,5
-962,98,3
-988,114,8
-984,116,1
-980,114,1
-982,110,2
-990,104,3
-990,102,1
-994,104,1
-978,90,7
-974,88,1
-974,90,1
-974,92,1
-988,86,3
-992,88,1
-1002,84,2
-1000,64,10
-1000,66,1
-1004,60,3
-1002,72,6
-1000,76,2
-1000,74,1
-988,82,4
-1000,64,9
-1004,62,1
-998,58,2
-1006,56,1
-1012,72,8
-1012,70,1
-1008,68,1
-1004,70,1
-1004,72,1
-1010,76,2
-1000,82,3
-1004,80,1
-1012,78,1
-1016,80,1
-1022,86,3
-1032,90,2
-1032,92,1
-1020,86,3
-1022,90,2
-1052,76,7
-1066,68,4
-1074,70,1
-1074,68,1
-1080,60,4
-1068,66,3
-1070,74,4
-1056,80,3
-1056,82,1
-1062,90,4
-1050,102,6
-1046,100,1
-1056,86,7
-1038,98,6
-1036,92,3
-1032,98,3
-1028,100,1
-1036,116,8
-1036,128,6
-1050,120,4
-1060,116,2
-1050,112,2
-1044,94,9
-1048,110,8
-1044,104,3
-1050,108,2
-1060,104,2
-1070,98,3
-1060,94,2
-1060,96,1
-1072,104,4
-1064,106,1
-1060,104,1
-1064,102,1
-1082,120,9
-1068,116,2
-1072,96,10
-1070,86,5
-1072,92,3
-1060,116,12
-1062,120,2
-1064,126,3
-1060,124,1
-1050,112,6
-1046,110,1
-1050,112,1
-1038,104,4
-1044,100,2
-1050,116,8
-1048,120,2
-1044,118,1
-1032,102,8
-1036,90,6
-1048,98,4
-1046,84,7
-1046,82,1
-1050,80,1
-1050,82,1
-1050,80,1
-1064,110,15
-1066,104,3
-1060,100,2
-1074,104,2
-1078,118,7
-1078,116,1
-1078,118,1
-1084,124,3
-1092,110,7
-1090,94,8
-1076,84,5
-1074,80,2
-1058,100,10
-1058,102,1
-1048,98,2
-1028,88,5
-1032,96,4
-1042,92,2
