time,prey,pred
0.000000,25,25
0.004635,26,25
0.005015,26,24
0.006799,26,23
0.012272,26,22
0.017475,27,22
0.027210,27,21
0.035504,28,21
0.047197,29,21
0.050194,29,20
0.056510,29,19
0.061386,30,19
0.072222,31,19
0.077947,31,18
0.079050,32,18
0.079821,33,18
0.084558,33,17
0.093942,34,17
0.102471,34,16
0.104183,34,15
0.106071,34,14
0.109516,35,14
0.112514,35,13
0.120079,34,14
0.132642,35,14
0.135099,35,13
0.135326,36,13
0.141305,37,13
0.143793,38,13
0.144441,39,13
0.159448,39,12
0.163888,40,12
0.169050,40,11
0.183235,41,11
0.189844,42,11
0.190509,43,11
0.191568,43,10
0.197541,44,10
0.198763,44,9
0.203210,45,9
0.213617,46,9
0.213815,47,9
0.214678,48,9
0.217455,47,10
0.218258,48,10
0.219318,48,9
0.223869,48,8
0.226608,49,8
0.226984,50,8
0.232694,51,8
0.233608,51,7
0.245028,52,7
0.250756,52,6
0.256309,53,6
0.257399,54,6
0.258623,55,6
0.263608,56,6
0.264575,57,6
0.265404,58,6
0.265917,59,6
0.271679,60,6
0.279187,61,6
0.279953,62,6
0.281571,63,6
0.295836,64,6
0.314069,65,6
0.332216,66,6
0.332712,67,6
0.333006,68,6
0.335666,69,6
0.336338,70,6
0.341526,71,6
0.345736,72,6
0.352212,73,6
0.355637,74,6
0.359044,75,6
0.371913,76,6
0.376278,77,6
0.382334,78,6
0.382347,79,6
0.387481,80,6
0.400100,81,6
0.402772,82,6
0.403237,83,6
0.412014,84,6
0.424366,85,6
0.443271,86,6
0.448321,87,6
0.453556,88,6
0.455671,89,6
0.457064,90,6
0.457697,91,6
0.459568,92,6
0.464153,93,6
0.464493,93,5
0.464615,94,5
0.465009,95,5
0.471464,96,5
0.474359,97,5
0.475437,98,5
0.478332,99,5
0.479245,100,5
0.480306,100,4
0.483156,101,4
0.492795,102,4
0.492880,103,4
0.500474,102,5
0.501791,103,5
0.505955,104,5
0.510469,105,5
0.510653,106,5
0.513729,107,5
0.514608,108,5
0.516911,109,5
0.517676,110,5
0.520102,111,5
0.524091,112,5
0.524526,113,5
0.525014,114,5
0.529803,115,5
0.535805,116,5
0.538691,117,5
0.538716,118,5
0.540319,119,5
0.541320,120,5
0.543274,120,4
0.545781,121,4
0.546692,122,4
0.550192,123,4
0.554000,124,4
0.558469,125,4
0.561938,126,4
0.565968,127,4
0.566494,128,4
0.570060,129,4
0.570369,130,4
0.570389,131,4
0.573607,132,4
0.573679,133,4
0.573811,134,4
0.582661,135,4
0.582921,136,4
0.584015,137,4
0.584215,138,4
0.586067,139,4
0.589064,140,4
0.589842,139,5
0.590312,140,5
0.590859,141,5
0.594683,142,5
0.595290,143,5
0.597121,144,5
0.597412,145,5
0.599755,146,5
0.603556,147,5
0.604569,148,5
0.607748,149,5
0.608007,150,5
0.608355,150,4
0.611287,151,4
0.619144,152,4
0.619342,153,4
0.619693,154,4
0.621637,155,4
0.628892,156,4
0.631204,155,5
