side,temp,obs,mean,var,var_ci80_low,var_ci80_high,var_ci95_low,var_ci95_high,tau
32,2.11919,energy,-1.75254051995798,0.00447188392689706,0.00445072937175942,0.00449460101283451,0.00443952435809572,0.00450404071612652,3.72382487652373
32,2.11919,magnet,0.857371386576945,0.00249798321271204,0.00245128725256333,0.0025422561425876,0.00242834370364146,0.00256216134994698,8.97221954308643
45,2.11919,energy,-1.63635348729121,0.00227272691523859,0.00226176535183568,0.00228294827012091,0.00225486480156153,0.00228922228302423,3.61173991123684
45,2.11919,magnet,0.857846604834526,0.0012106120925129,0.00119660738259847,0.00122422024191197,0.00118953960804986,0.00123169915596216,7.98852657033925
64,2.11919,energy,-1.65598753939076,0.00113306791888315,0.00112760904864298,0.00113868864597061,0.00112513059009425,0.00114116157031054,3.72664532196016
64,2.11919,magnet,0.857201331582674,0.000627175825151415,0.000620907390738196,0.000633494499802382,0.000617826275091081,0.000636436564189091,8.71724875669152
90,2.11919,energy,-1.6477769361967,0.000568992632317462,0.000566388980393323,0.000571710557700407,0.000564891659795656,0.000572906133944081,3.68099382642266
90,2.11919,magnet,0.857277140782239,0.0003139175707479,0.000310922368871234,0.000317074744761863,0.000309410691241007,0.000318440522157095,9.62442344332568
32,2.12419,energy,-1.63997092962185,0.0045744603069933,0.00454982979520967,0.00459605281571735,0.00453611021301258,0.00460734769871694,3.79859781910861
32,2.12419,magnet,0.854459132090336,0.00263349865267652,0.00258709485605887,0.00268249512416182,0.00256348758941105,0.00270765722616157,10.3413003173604
45,2.12419,energy,-1.63189846581596,0.00230961444069551,0.00229826379173181,0.00231981372456167,0.00229176057638886,0.00232403358564494,3.82849606488644
45,2.12419,magnet,0.854133113429661,0.00131050359078425,0.00129383627655398,0.00132712289398982,0.00128459590586006,0.00133549653959414,9.03596346290104
64,2.12419,energy,-1.64900096507353,0.00115163908829786,0.00114575552008686,0.00115695951101906,0.0011428492331231,0.00115959943180688,3.73749079445848
64,2.12419,magnet,0.854253692883403,0.000661349540781225,0.000653716899354485,0.000669576122548154,0.000648266392981141,0.000673568747215852,9.95320113322082
90,2.12419,energy,-1.65806574125947,0.000576600084079589,0.000573930388218218,0.000579284584763393,0.00057244009095144,0.000580879699238053,3.84541929189477
90,2.12419,magnet,0.854229015458035,0.000337661845522408,0.000334525761525393,0.000341191228103205,0.000332507250060342,0.000342823122018483,9.6989468976666
32,2.12919,energy,-1.62457429096639,0.0046889051003627,0.00466594696210223,0.00471119710954168,0.0046555606734832,0.0047232427241066,4.09198040609319
32,2.12919,magnet,0.850838772667686,0.0029300400150029,0.00285305429957333,0.00300827284947751,0.00281227235607196,0.00304602391246735,13.4425346539699
45,2.12919,energy,-1.61761101525054,0.00237751047354151,0.00236606699125621,0.00238878182186524,0.00236022863105605,0.0023946927839058,3.99142380536125
45,2.12919,magnet,0.850625587287632,0.00146684078960986,0.00144144973639054,0.00149148052436157,0.00142863710742588,0.00150296133567904,11.2911208579205
64,2.12919,energy,-1.6345507549895,0.00116769274642356,0.00116248623060728,0.00117293825440348,0.00115948575695071,0.00117632858707574,4.03566307006282
64,2.12919,magnet,0.850825397608313,0.000711917673467358,0.000701339601670745,0.000721962672608524,0.000695292014677853,0.000727091872904757,10.8652986709788
90,2.12919,energy,-1.59805593775288,0.000594624699788379,0.000591948889938376,0.000597593897232671,0.000590416844038855,0.00059912746741971,4.04183442565172
90,2.12919,magnet,0.850666828506462,0.000369431098520814,0.000364506273965362,0.000373642884474405,0.000362375185548589,0.000375959945673964,12.6132794939873
32,2.13419,energy,-1.61351427914916,0.00482806869868228,0.00480090375468085,0.00485312681142731,0.00478577727437016,0.00486478344414292,4.53132065879885
32,2.13419,magnet,0.847023713235294,0.00323994676834632,0.00315251312247714,0.00332779768144441,0.00310961248651535,0.00337894366489146,13.6771566920528
45,2.13419,energy,-1.60220003568835,0.00244599274352792,0.00243391069107825,0.00245778784262323,0.00242851011904828,0.0024634044193601,4.27061095874943
45,2.13419,magnet,0.847326444352735,0.00154542555885789,0.00151487801228525,0.00157557996511794,0.00149801526375791,0.00159352337718726,12.9323013728078
64,2.13419,energy,-1.63260730698529,0.00119739360540783,0.00119161804285238,0.00120291808970908,0.00118807340287105,0.00120565904668531,4.19334246939747
64,2.13419,magnet,0.847577863448895,0.000755807938290087,0.000744997066803057,0.000766212304668583,0.000738745823200375,0.000771291083922506,11.5826739010862
90,2.13419,energy,-1.61718881045752,0.000604194276976273,0.000601234269706588,0.000606920037510411,0.000599578288224121,0.000608686558785414,4.08472057671198
90,2.13419,magnet,0.847596106332926,0.000379647944866183,0.000375485838494095,0.00038364361287065,0.000373600493422201,0.00038550263814506,10.6478064598953
32,2.13919,energy,-1.57732828256303,0.00487648116966213,0.00485414603411167,0.00490093342428425,0.00483972837846272,0.00491267055361349,4.32401494815228
32,2.13919,magnet,0.84424466080402,0.00321732763714377,0.00314162101206696,0.00329001557938312,0.0030991114609061,0.00333366058613158,12.5557202119712
45,2.13919,energy,-1.68393363294948,0.00248394187134622,0.00247205568261296,0.00249596865097539,0.0024668678104135,0.00250281818308709,4.27133902364176
45,2.13919,magnet,0.844033530449217,0.00160933751481127,0.0015888126254329,0.00163098792722831,0.00157607500234202,0.00164057620651573,10.152059060927
64,2.13919,energy,-1.62762347689076,0.00122392209045338,0.00121780126803214,0.00122947323037564,0.00121503096925931,0.00123233914710899,4.45459347762564
