side,temp,spec_heat
32,2.27,71.5497542299204
32,2.27556,73.9784738818683
32,2.28111,75.8067021321382
32,2.28667,75.8812290915127
32,2.29222,79.3916942448691
32,2.29778,77.9951432472679
32,2.30333,79.1206065596738
32,2.30889,77.0774150953074
32,2.31444,73.7948724598534
32,2.32,73.7406094824582
45,2.27,129.183266190034
45,2.27444,141.087065814002
45,2.27889,143.148104631103
45,2.28333,147.627996701159
45,2.28778,149.882907170931
45,2.29222,148.567505875285
45,2.29667,146.446327757151
45,2.30111,142.714699172725
45,2.30556,140.536321015494
45,2.31,129.392291369957
64,2.26,183.383661035249
64,2.26444,204.53931783929
64,2.26889,220.186290692631
64,2.27333,230.518086083038
64,2.27778,238.375028281201
64,2.28222,253.492098891827
64,2.28667,249.208198341753
64,2.29111,240.420184747314
64,2.29556,232.206573124918
64,2.3,220.419046491247
90,2.26,247.884718884334
90,2.26333,265.161207105237
90,2.26667,306.209724817789
90,2.27,317.121606739738
90,2.27333,344.063681281815
90,2.27667,343.852654230358
90,2.28,346.398714731624
90,2.28333,347.604205858612
90,2.28667,333.557496299012
90,2.29,322.703492276091
