L,temp,energy,spheat
32,2.11918531421302,-1.66408662574135,27.7778136779235
32,2.12418531421302,-1.65711757277928,28.1019486378913
32,2.12918531421302,-1.65013595880213,28.4258173960535
32,2.13418531421302,-1.64314226550506,28.7523290560994
32,2.13918531421302,-1.63613626866026,29.0844258415206
32,2.14418531421302,-1.62911705895593,29.4250654226265
32,2.14918531421302,-1.6220830656273,29.7772102724609
32,2.15418531421302,-1.61503208119022,30.1438228693543
32,2.15918531421302,-1.60796128602185,30.5278650834584
32,2.16418531421302,-1.60086727204083,30.9322996757816
32,2.16918531421302,-1.59374606529508,31.3600915002107
32,2.17418531421302,-1.58659314785114,31.8142057295309
32,2.17918531421302,-1.57940347997326,32.2976002274453
32,2.18418531421302,-1.57217152416673,32.8132090657752
32,2.18918531421302,-1.56489127321881,33.3639141552359
32,2.19418531421302,-1.55755628488048,33.9525020432042
32,2.19918531421302,-1.55015972626787,34.5816031697845
32,2.20418531421302,-1.5426944313911,35.2536113101932
32,2.20918531421302,-1.53515297540032,35.9705816238294
32,2.21418531421302,-1.52752776912587,36.7341067375345
32,2.21918531421302,-1.51981117722662,37.5451716692412
32,2.22418531421302,-1.51199566268599,38.4039901867938
32,2.22918531421302,-1.50407395945227,39.3098274032708
32,2.23418531421302,-1.49603927365659,40.260815984859
32,2.23918531421302,-1.48788551203411,41.2537761684517
32,2.24418531421302,-1.47960753392922,42.2840526322131
32,2.24918531421302,-1.47120142064941,43.3453838073607
32,2.25418531421302,-1.46266475307714,44.4298210325544
32,2.25918531421302,-1.45399688556697,45.5277155337299
32,2.26418531421302,-1.44519920153891,46.6277900486795
32,2.26918531421302,-1.43627533418534,47.7173085794475
32,2.27418531421302,-1.42723133472631,48.7823520191172
32,2.27918531421302,-1.41807577104378,49.808199356541
32,2.28418531421302,-1.40881974157723,50.7798043250073
32,2.28918531421302,-1.39947679318649,51.6823466869617
32,2.29418531421302,-1.39006273717546,52.5018271770541
32,2.29918531421302,-1.38059536445558,53.2256670088183
32,2.30418531421302,-1.37109406829997,53.8432682715057
32,2.30918531421302,-1.36157939050111,54.3464916151448
32,2.31418531421302,-1.3520725131275,54.7300127969053
32,2.31918531421302,-1.34259472267639,54.9915295691585
32,2.32418531421302,-1.33316687564337,55.1318038369949
32,2.32918531421302,-1.32380889409697,55.1545391821106
32,2.33418531421302,-1.31453931684198,55.066108640394
32,2.33918531421302,-1.30537492661203,54.8751600534998
32,2.34418531421302,-1.29633046714295,54.5921349010693
32,2.34918531421302,-1.28741845677026,54.2287404946873
32,2.35418531421302,-1.27864909818859,53.7974147986218
32,2.35918531421302,-1.27003027789769,53.3108186350386
32,2.36418531421302,-1.26156764412223,52.7813827851789
32,2.36918531421302,-1.25326474886568,52.2209288436428
32,2.37418531421302,-1.24512323825062,51.640373878353
32,2.37918531421302,-1.23714307523267,51.0495209989431
32,2.38418531421302,-1.22932277985721,50.4569314995889
32,2.38918531421302,-1.22165967411201,49.8698696247979
32,2.39418531421302,-1.21415012077015,49.294308213963
32,2.39918531421302,-1.20678974811662,48.7349823039675
32,2.40418531421302,-1.19957365487442,48.1954778783822
32,2.40918531421302,-1.1924965918296,47.6783439744521
32,2.41418531421302,-1.18555311850424,47.185217941697
45,2.11918531421302,-1.65564191355992,21.8829922254605
45,2.12418531421302,-1.64999737480744,22.5420641478756
45,2.12918531421302,-1.64424391978895,23.2177040678259
45,2.13418531421302,-1.6383801777245,23.90915597495
45,2.13918531421302,-1.63240501952933,24.6158131743796
45,2.14418531421302,-1.62631750700827,25.3372925206049
45,2.14918531421302,-1.62011682780504,26.0735006700179
45,2.15418531421302,-1.61380221964464,26.8246851647859
45,2.15918531421302,-1.60737288886704,27.5914631288944
45,2.16418531421302,-1.60082792951353,28.3748211006951
45,2.16918531421302,-1.59416625012132,29.1760810935816
45,2.17418531421302,-1.58738651575492,29.9968303093147
45,2.17918531421302,-1.5804871125406,30.8388148562955
45,2.18418531421302,-1.57346614102186,31.7038010711513
45,2.18918531421302,-1.56632144304489,32.5934112579095
45,2.19418531421302,-1.55905066471894,33.5089434542001
45,2.19918531421302,-1.55165135546006,34.4511868356198
45,2.20418531421302,-1.54412110045882,35.4202452724627
45,2.20918531421302,-1.53645768138775,36.4153811779068
45,2.21418531421302,-1.5286592580513,37.4348901292524
45,2.21918531421302,-1.52072456220659,38.4760140141285
45,2.22418531421302,-1.5126530940839,39.5348970770914
45,2.22918531421302,-1.50444531223022,40.6065858244999
45,2.23418531421302,-1.49610280806595,41.6850709737238
45,2.23918531421302,-1.48762845773781,42.7633681181656
45,2.24418531421302,-1.4790265451413,43.8336338701826
45,2.24918531421302,-1.47030285104283,44.8873158437307
45,2.25418531421302,-1.46146470381963,45.9153373125204
45,2.25918531421302,-1.45252098740856,46.9083195988361
45,2.26418531421302,-1.44348210181697,47.8568458326006
45,2.26918531421302,-1.43435987144011,48.7517674244262
45,2.27418531421302,-1.42516739703925,49.5845487941275
45,2.27918531421302,-1.41591884913053,50.3476369645704
45,2.28418531421302,-1.40662920406421,51.0348321039726
45,2.28918531421302,-1.39731392918527,51.6416254588469
45,2.29418531421302,-1.3879886296227,52.1654652135409
45,2.29918531421302,-1.37866867548428,52.60591106134
45,2.30418531421302,-1.36936883331582,52.9646458797179
45,2.30918531421302,-1.36010292844091,53.2453273744394
45,2.31418531421302,-1.3508835643883,53.4532817045337
45,2.31918531421302,-1.34172192176593,53.5950615468715
45,2.32418531421302,-1.33262765202245,53.6779090986391
45,2.32918531421302,-1.32360887248295,53.7091770151567
45,2.33418531421302,-1.31467225913823,53.6957653536715
45,2.33918531421302,-1.30582322427161,53.6436298713394
45,2.34418531421302,-1.29706615831469,53.5574075003085
45,2.34918531421302,-1.28840471017764,53.4401904127076
45,2.35418531421302,-1.27984207811809,53.2934631087172
45,2.35918531421302,-1.27138128400195,53.1171996648443
45,2.36418531421302,-1.26302540723461,52.9101025789419
45,2.36918531421302,-1.25477776012556,52.6699519902192
45,2.37418531421302,-1.24664199326925,52.3940254118155
45,2.37918531421302,-1.23862212689732,52.0795440265116
45,2.38418531421302,-1.23072251131078,51.7241021692156
45,2.38918531421302,-1.22294772574429,51.3260415328784
45,2.39418531421302,-1.21530242979544,50.8847401370903
45,2.39918531421302,-1.20779118450961,50.4007970568356
45,2.40418531421302,-1.20041826120655,49.876105923977
45,2.40918531421302,-1.1931874552653,49.3138218056186
45,2.41418531421302,-1.186101919649,48.718235894389
64,2.11918531421302,-1.65388941788514,32.076439411231
64,2.12418531421302,-1.64573673342195,31.0832688887437
64,2.12918531421302,-1.63792707935009,29.9454938841262
64,2.13418531421302,-1.63047117704424,28.810565659254
64,2.13918531421302,-1.62334798142446,27.7911789472311
64,2.14418531421302,-1.61651486729161,26.9610340344867
64,2.14918531421302,-1.60991719748606,26.3595903735978
64,2.15418531421302,-1.60349580382674,26.0007418022452
64,2.15918531421302,-1.5971920454703,25.881703458104
64,2.16418531421302,-1.59095077309971,25.990214307868
