side,temp,obs,tau,mean,var
32,2.11919,energy,2.56769198502997,-1.64338602035985,1.01710467415737
32,2.11919,magnet,7.03544427839613,0.857817067155934,1.15163481902036
32,2.12419,energy,2.9737938087909,-1.62218903093434,1.04637303124163
32,2.12419,magnet,10.9013519758558,0.854022782512626,1.35340152175426
32,2.12919,energy,3.32994370619602,-1.63432749368687,1.06110781649734
32,2.12919,magnet,13.1200098893503,0.850551246843434,1.40683534330577
32,2.13419,energy,3.05640940946556,-1.57646007733586,1.07747881092965
32,2.13419,magnet,8.96041624820005,0.847421997316919,1.44229515238945
32,2.13919,energy,3.34767453295296,-1.59065626972854,1.09328961202099
32,2.13919,magnet,11.2714667681921,0.844026465830177,1.55202862316529
32,2.14419,energy,3.62596565404328,-1.65725166508838,1.11944568435041
32,2.14419,magnet,15.5939806622318,0.839829551373106,1.78066640833824
32,2.14919,energy,3.74895720515597,-1.71031942866162,1.1338359329932
32,2.14919,magnet,12.3673405944174,0.836498338857323,1.77556094457424
32,2.15419,energy,3.99203082115215,-1.59510733112374,1.15516298748541
32,2.15419,magnet,15.8865148349589,0.832201923532197,1.98338771706164
32,2.15919,energy,4.64600445832069,-1.57139561631944,1.19076360929068
32,2.15919,magnet,14.8165902813912,0.827494168244949,2.17171775301318
32,2.16419,energy,4.46186199589297,-1.67915861347854,1.20332378591235
32,2.16419,magnet,14.2376734039342,0.823807871685606,2.27403866191174
32,2.16919,energy,5.32976618246498,-1.70404685921717,1.23141768346651
32,2.16919,magnet,19.5526866535405,0.818622948232323,2.59407281205228
32,2.17419,energy,5.4990445722982,-1.50793901515152,1.26171821990507
32,2.17419,magnet,19.4214798219252,0.813447082149621,2.78756087195282
32,2.17919,energy,5.49258185177782,-1.62947953361742,1.27133234335117
32,2.17919,magnet,19.4214574186781,0.809779981455177,2.88733713964756
32,2.18419,energy,5.77798863421961,-1.57971254340278,1.29856960026509
32,2.18419,magnet,20.0035888141913,0.804262916272096,3.09494334993075
32,2.18919,energy,6.11388895437587,-1.56365858191288,1.32623142389351
32,2.18919,magnet,20.9940132531011,0.799308761442551,3.32549538764628
32,2.19419,energy,7.89256460174396,-1.55469270833333,1.36812609483804
32,2.19419,magnet,28.2147696189914,0.792339537957702,3.93912102890162
32,2.19919,energy,7.23954727022818,-1.52475464804293,1.37888030331109
32,2.19919,magnet,24.4880880119591,0.787430413510101,4.00196905528717
32,2.20419,energy,8.64372034662175,-1.50773075284091,1.42669048381873
32,2.20419,magnet,28.0655554235824,0.77998356021149,4.68778582289975
32,2.20919,energy,9.65034240415148,-1.54741072837753,1.4628621364817
32,2.20919,magnet,33.1110666921736,0.772554004892677,5.39435831981513
32,2.21419,energy,9.55676540981812,-1.51578274147727,1.50103068331202
32,2.21419,magnet,31.7208259349186,0.764572725299874,5.77236169607878
32,2.21919,energy,11.3849056096808,-1.58047797111742,1.52933257080314
32,2.21919,magnet,35.8558853616623,0.756641481218434,6.32592054803921
32,2.22419,energy,11.7101882443674,-1.50654786537247,1.57747613152339
32,2.22419,magnet,35.5465886545754,0.748366068892046,7.03126863839561
32,2.22919,energy,11.8599412164089,-1.56815514914773,1.5925738027873
32,2.22919,magnet,33.1369495218023,0.742615157433712,7.25656181970784
32,2.23419,energy,12.7719655892446,-1.47917802241162,1.63665735228279
32,2.23419,magnet,36.1522226959065,0.732115216619318,8.03875057884855
32,2.23919,energy,12.8756359993464,-1.48913877446338,1.65896586624603
32,2.23919,magnet,34.7058852459654,0.724245101404672,8.57945681391324
32,2.24419,energy,14.2066708360819,-1.49348419744318,1.69147074132622
32,2.24419,magnet,39.6635136840896,0.711697330729167,9.6266127057689
32,2.24919,energy,15.091094001682,-1.43634249526515,1.7297200359369
32,2.24919,magnet,38.7009954635051,0.702535024068813,10.2769071079227
32,2.25419,energy,15.7937187586349,-1.47453605981692,1.77080383206063
32,2.25419,magnet,40.7010875781152,0.690285219381313,11.4310541203943
32,2.25919,energy,17.3869391797651,-1.48713868765783,1.79888036012744
32,2.25919,magnet,42.228099460477,0.679113709359217,12.227634468916
32,2.26419,energy,17.2322653755821,-1.45637465277778,1.82943350581168
32,2.26419,magnet,42.634214469109,0.666565413904672,13.110105409946
32,2.26919,energy,17.791573374371,-1.40438829308712,1.84727754596096
32,2.26919,magnet,41.3801135143433,0.654270509785354,13.9936776126371
32,2.27419,energy,18.3695370984455,-1.40868073311237,1.8737470084317
32,2.27419,magnet,41.9837751025501,0.64127561947601,14.7288673284271
32,2.27919,energy,18.2706844135,-1.45669537168561,1.87733213583994
32,2.27919,magnet,41.7968136257243,0.629536274857955,15.3997357654698
32,2.28419,energy,19.0157296266875,-1.44595855823864,1.90902390858191
32,2.28419,magnet,42.6094316220327,0.611877237215909,16.7414985136891
32,2.28919,energy,19.3791414242824,-1.43794081439394,1.9078324798865
32,2.28919,magnet,42.4385663437285,0.596250623421717,17.5780243138823
32,2.29419,energy,18.9147266179233,-1.36882379261364,1.90409634852101
32,2.29419,magnet,41.1102248580006,0.585127625868056,18.0391177403017
32,2.29919,energy,19.6419879307345,-1.35308330965909,1.8993178790261
32,2.29919,magnet,41.9790460919986,0.569399615293561,18.6100677960058
32,2.30419,energy,19.1089444302401,-1.42854710779672,1.89833492924059
32,2.30419,magnet,40.8792969357917,0.556372721354167,19.2001523659692
32,2.30919,energy,18.8478291573946,-1.37964438920455,1.88337843303303
32,2.30919,magnet,40.1973176434986,0.541016489109849,19.716708364611
32,2.31419,energy,19.3704800936257,-1.34489623184975,1.86760326557479
