L,temp,energy,spheat
32,2.11918531421302,-1.64338602035985,20.5136675710589
32,2.12418531421302,-1.62218903093434,21.3038483395015
32,2.12918531421302,-1.63432749368687,21.8079716206199
32,2.13418531421302,-1.57646007733586,22.3531716881719
32,2.13918531421302,-1.59065626972854,22.8944786352843
32,2.14418531421302,-1.65725166508838,23.6621494573695
32,2.14918531421302,-1.71031942866162,24.190651630955
32,2.15418531421302,-1.59510733112374,24.8758195601307
32,2.15918531421302,-1.57139561631944,25.8813609437676
32,2.16418531421302,-1.67915861347854,26.3974614729881
32,2.16918531421302,-1.70404685921717,27.2642706457677
32,2.17418531421302,-1.50793901515152,28.1935963892803
32,2.17918531421302,-1.62947953361742,28.6706551720108
32,2.18418531421302,-1.57971254340278,29.5545959273283
32,2.18918531421302,-1.56365858191288,30.4614994499075
32,2.19418531421302,-1.55469270833333,31.7118221592356
32,2.19918531421302,-1.52475464804293,32.2534165458475
32,2.20418531421302,-1.50773075284091,33.6762735764987
32,2.20918531421302,-1.54741072837753,34.8444674754829
32,2.21418531421302,-1.51578274147727,36.0784002182104
32,2.21918531421302,-1.58047797111742,37.0918120865694
32,2.22418531421302,-1.50654786537247,38.6054396007455
32,2.22918531421302,-1.56815514914773,39.3265715193654
32,2.23418531421302,-1.47917802241162,40.7789799973756
32,2.23918531421302,-1.48913877446338,41.7060842800292
32,2.24418531421302,-1.49348419744318,42.9043342765078
32,2.24918531421302,-1.43634249526515,44.2668462593908
32,2.25418531421302,-1.47453605981692,45.7225794204225
32,2.25918531421302,-1.48713868765783,46.8609951189987
32,2.26418531421302,-1.45637465277778,48.0802041633554
32,2.26918531421302,-1.40438829308712,48.9794384713395
32,2.27418531421302,-1.40868073311237,50.1205865671212
32,2.27918531421302,-1.45669537168561,50.6595644621624
32,2.28418531421302,-1.44595855823864,51.9682974843455
32,2.28918531421302,-1.43794081439394,52.3921017155787
32,2.29418531421302,-1.36882379261364,52.7478394663697
32,2.29918531421302,-1.35308330965909,53.0756515009158
32,2.30418531421302,-1.42854710779672,53.5111423570161
32,2.30918531421302,-1.37964438920455,53.5518529922996
32,2.31418531421302,-1.34489623184975,53.5647295260653
32,2.31918531421302,-1.32415410748106,53.6493671930927
32,2.32418531421302,-1.26996797269571,53.0865255637347
32,2.32918531421302,-1.31971972458965,52.6920527435375
32,2.33418531421302,-1.28653460779672,51.8921722266851
32,2.33918531421302,-1.35532932844066,51.7007987408892
32,2.34418531421302,-1.37417180397727,51.063235259979
32,2.34918531421302,-1.24148619397096,50.4066824650845
32,2.35418531421302,-1.30107934027778,49.660576810899
32,2.35918531421302,-1.28429405776515,48.5756221045278
32,2.36418531421302,-1.16353010969066,47.895195367662
