algorithm,variable,term,estimate,std.error,statistic,p.value
metro,energy,(Intercept),-2.34930830708982,0.173652128258817,-13.5288195465611,0.000172765160495879
metro,energy,log(lat_side),1.54297680864116,0.0550528237942625,28.0272055509343,9.64173531308271e-06
metro,magnet,(Intercept),-2.91447530923991,0.123486851635943,-23.6015030801192,1.91078873575816e-05
metro,magnet,log(lat_side),1.9352156551345,0.0391489580472596,49.4321113935742,1.00214520839744e-06
wolff,energy,(Intercept),-0.132418504812854,0.0338596088755281,-3.91081023114117,0.0173819364765285
wolff,energy,log(lat_side),0.242994423279375,0.0107344902700462,22.6367919823294,2.25560248296133e-05
wolff,magnet,(Intercept),0.0774741057235648,0.0362469502134522,2.13739653315197,0.0993780850398869
wolff,magnet,log(lat_side),0.117893071846384,0.0114913475762671,10.2592903977482,0.000508935573013964
